dir,train_prior,live_prior,live_mid,yes_is_radiant,last_change_age_s,yes_at_anchor,yes_at_horn,yes_at_horn_plus_80,no_at_anchor,horn_minus_spawn_s,train_mid_second0,path_yes_rel_anchor
grid-2965525-m1,0.36,0.66,0.415,True,67,0.66,0.66,0.36,0.34,-0.753000020980835,0.36,"[(-251, 0.68), (-187, 0.68), (-127, 0.655), (-67, 0.66), (-6, 0.66), (50, 0.66), (110, 0.36), (173, 0.535), (233, 0.405), (294, 0.435)]"
grid-3005562-m3,0.155,0.425,0.205,False,123,0.575,0.575,0.805,0.425,-0.6589999198913574,0.155,"[(-294, 0.505), (-248, 0.505), (-183, 0.505), (-123, 0.575), (-50, 0.575), (-4, 0.575), (53, 0.575), (112, 0.805), (176, 0.795), (233, 0.805), (300, 0.885)]"
grid-3004388-m5,0.625,0.4,0.635,True,4,0.39,0.375,0.635,0.585,-1.005000114440918,0.625,"[(-244, 0.46), (-184, 0.42), (-124, 0.405), (-64, 0.405), (-4, 0.39), (56, 0.375), (116, 0.635), (176, 0.635), (236, 0.635), (297, 0.71)]"
grid-2965529-m3,0.6,0.7208121827411167,0.665,False,60,0.325,0.395,0.275,0.675,-0.9670000076293945,0.6,"[(-243, 0.35), (-180, 0.35), (-116, 0.345), (-60, 0.325), (13, 0.375), (60, 0.395), (120, 0.275), (181, 0.275), (241, 0.315), (296, 0.315)]"
grid-2973272-m4,0.545,0.435,0.545,False,7,0.565,0.435,0.475,0.435,-0.18000006675720215,0.545,"[(-249, 0.545), (-188, 0.545), (-129, 0.565), (-69, 0.55), (-7, 0.565), (52, 0.435), (112, 0.475), (171, 0.475), (231, 0.455), (292, 0.475)]"
grid-3005563-m2,0.56,0.66,0.6,False,22,0.34,0.435,0.38,0.66,-0.6059999465942383,0.56,"[(-261, 0.33), (-189, 0.3), (-145, 0.3), (-65, 0.375), (-22, 0.34), (49, 0.435), (100, 0.44), (159, 0.38), (218, 0.385), (279, 0.395)]"
grid-2968612-m3,0.725,0.625,0.56,False,19,0.375,0.375,0.4,0.625,-0.6500000953674316,0.725,"[(-256, 0.36), (-196, 0.36), (-135, 0.36), (-67, 0.37), (-19, 0.375), (45, 0.375), (107, 0.275), (165, 0.4), (226, 0.4), (281, 0.385)]"
grid-2968612-m2,0.305,0.395,0.315,True,1,0.325,0.325,0.325,0.605,-0.9579999446868896,0.305,"[(-242, 0.405), (-172, 0.415), (-121, 0.415), (-65, 0.395), (-1, 0.325), (59, 0.325), (120, 0.325), (179, 0.315), (239, 0.405), (299, 0.375)]"
grid-3002599-m3,0.575,0.495,0.505,True,86,0.495,0.505,0.585,0.505,-0.8389999866485596,0.575,"[(-267, 0.485), (-205, 0.485), (-147, 0.485), (-86, 0.495), (-20, 0.495), (34, 0.505), (94, 0.555), (155, 0.585), (215, 0.545), (274, 0.495)]"
grid-3005562-m1,0.5,0.575,0.3349999999999999,False,33,0.425,0.555,0.245,0.575,,,"[(-273, 0.47), (-214, 0.455), (-153, 0.455), (-97, 0.47), (-33, 0.425), (24, 0.555), (97, 0.5), (146, 0.245), (206, 0.62), (266, 0.79)]"
grid-2999024-m1,0.27,0.2,0.505,True,272,0.2,0.275,0.33,0.8,-0.7170000076293945,0.27,"[(-272, 0.2), (-213, 0.2), (-153, 0.2), (-94, 0.2), (-34, 0.2), (28, 0.28), (87, 0.275), (147, 0.33), (207, 0.495), (267, 0.3)]"
grid-2999024-m2,0.245,0.175,0.3,False,36,0.825,0.755,0.71,0.175,-0.3919999599456787,0.245,"[(-273, 0.83), (-214, 0.83), (-155, 0.83), (-96, 0.81), (-36, 0.825), (25, 0.835), (84, 0.755), (144, 0.71), (205, 0.875), (264, 0.895)]"
grid-3000371-m2,0.415,0.485,0.435,False,3,0.515,0.56,0.575,0.485,-0.6410000324249268,0.415,"[(-296, 0.475), (-245, 0.475), (-185, 0.495), (-115, 0.505), (-65, 0.505), (-3, 0.515), (55, 0.56), (115, 0.575), (174, 0.575), (234, 0.585), (295, 0.585)]"
grid-3002602-m2,0.555,0.625,0.585,False,84,0.375,0.375,0.395,0.625,-0.21000003814697266,0.555,"[(-265, 0.415), (-205, 0.385), (-144, 0.385), (-84, 0.375), (-29, 0.375), (35, 0.375), (95, 0.445), (157, 0.395), (215, 0.385), (275, 0.405)]"
grid-3002597-m2,0.755,0.695,0.765,False,51,0.305,0.285,0.235,0.695,-0.27699995040893555,0.755,"[(-293, 0.33), (-230, 0.31), (-171, 0.34), (-112, 0.325), (-51, 0.305), (9, 0.305), (69, 0.285), (130, 0.235), (191, 0.235), (246, 0.18)]"
