dir,train_prior,live_prior,live_first_mid,diff_c,yes_is_radiant,horn_at_utc,anchor_ts,map_number,n_yes,n_no,yes_px,no_px,yes_ts,no_ts,yes_age_s,no_age_s,reproduced,flipped,session_mid,session_yes_mid,session_no_mid,repro_minus_live_c,flip_minus_train_c
grid-2965525-m1,0.36,0.66,0.415,30.000000000000004,True,2026-09-03T16:12:49Z,1788451879,1,361,361,0.66,0.34,1788451873,1788451877,6,2,0.66,0.34,0.41500000000000004,0.41500000000000004,0.585,0.0,-1.9999999999999962
grid-3005562-m3,0.155,0.425,0.205,27.0,False,2026-09-13T13:12:48Z,1789305078,3,360,360,0.575,0.425,1789305074,1789305074,4,4,0.425,0.575,0.20500000000000002,0.795,0.20500000000000002,0.0,41.99999999999999
grid-3004388-m5,0.625,0.4,0.635,-22.499999999999996,True,2026-09-10T19:21:48Z,1789068018,5,360,360,0.39,0.585,1789068014,1789068014,4,4,0.4,0.6,0.635,0.635,0.365,0.0,-2.500000000000002
grid-2965529-m3,0.6,0.7208121827411167,0.665,12.081218274111672,False,2026-09-15T18:03:44Z,1789495334,3,359,359,0.325,0.675,1789495274,1789495273,60,61,0.675,0.325,0.665,0.33499999999999996,0.665,-4.581218274111665,-27.499999999999996
grid-2973272-m4,0.545,0.435,0.545,-11.000000000000004,False,2026-09-05T18:54:53Z,1788634403,4,360,360,0.565,0.435,1788634396,1788634395,7,8,0.435,0.565,0.545,0.455,0.545,0.0,1.9999999999999907
grid-3005563-m2,0.56,0.66,0.6,9.999999999999998,False,2026-09-14T15:20:06Z,1789399116,2,360,360,0.34,0.66,1789399094,1789399094,22,22,0.66,0.34,0.6,0.4,0.6,0.0,-22.000000000000004
grid-2968612-m3,0.725,0.625,0.56,-9.999999999999998,False,2026-09-07T19:59:59Z,1788811109,3,360,360,0.375,0.625,1788811090,1788811089,19,20,0.625,0.375,0.56,0.44,0.56,0.0,-35.0
grid-2968612-m2,0.305,0.395,0.315,9.000000000000002,True,2026-09-07T19:09:44Z,1788808094,2,361,359,0.395,0.605,1788808029,1788808030,65,64,0.395,0.605,0.315,0.315,0.685,0.0,30.0
grid-3002599-m3,0.575,0.495,0.505,-7.9999999999999964,True,2026-09-06T17:13:10Z,1788714700,3,360,360,0.495,0.505,1788714680,1788714685,20,15,0.495,0.505,0.505,0.505,0.495,0.0,-6.999999999999995
grid-3005562-m1,0.5,0.575,0.3349999999999999,7.499999999999996,False,2026-09-13T11:16:19Z,1789298089,1,360,360,0.425,0.575,1789298056,1789298056,33,33,0.575,0.425,0.33499999999999996,0.665,0.33499999999999996,0.0,-7.500000000000001
grid-2999024-m1,0.27,0.2,0.505,-7.000000000000001,True,2026-09-10T18:16:17Z,1789064087,1,360,360,0.2,0.8,1789064053,1789064054,34,33,0.2,0.8,0.505,0.505,0.495,0.0,53.0
grid-2999024-m2,0.245,0.175,0.3,-7.000000000000001,False,2026-09-10T19:06:19Z,1789067089,2,360,360,0.825,0.175,1789067053,1789067056,36,33,0.175,0.825,0.30000000000000004,0.7,0.30000000000000004,0.0,57.99999999999999
grid-3000371-m2,0.415,0.485,0.435,7.000000000000001,False,2026-09-13T21:06:50Z,1789333520,2,360,360,0.515,0.485,1789333517,1789333515,3,5,0.485,0.515,0.435,0.565,0.435,0.0,10.000000000000004
grid-3002602-m2,0.555,0.625,0.585,6.999999999999995,False,2026-09-18T16:24:11Z,1789748561,2,360,360,0.375,0.625,1789748532,1789748533,29,28,0.625,0.375,0.585,0.415,0.585,0.0,-18.000000000000004
grid-3002597-m2,0.755,0.695,0.765,-6.000000000000005,False,2026-09-05T11:23:35Z,1788607325,2,360,360,0.305,0.695,1788607274,1788607273,51,52,0.695,0.305,0.765,0.235,0.765,0.0,-45.0
