match,status,drop,n_grid,n_ls,n_sig
grid-2964620-m2,ok,,360,901,360
grid-2964617-m1,ok,,339,901,339
grid-2965523-m2,ok,,336,901,671
grid-2964617-m2,ok,,404,901,404
grid-2964620-m1,ok,,531,901,531
grid-2964619-m1,ok,,440,901,440
grid-2964619-m2,ok,,496,901,496
grid-2965523-m3,ok,,341,901,681
grid-2965523-m1,ok,,612,901,1223
grid-2965525-m1,ok,,321,901,321
grid-2965524-m1,ok,,361,901,721
grid-2965525-m2,ok,,314,901,314
grid-2965524-m3,ok,,429,901,857
grid-2965526-m1,ok,,321,901,321
grid-2965524-m2,ok,,430,901,859
grid-2965526-m2,ok,,373,901,373
grid-2965527-m1,ok,,343,901,343
grid-2965527-m3,ok,,358,901,358
grid-2965526-m3,ok,,474,901,474
grid-2965527-m2,ok,,392,901,392
grid-2965528-m1,ok,,407,901,407
grid-2965528-m2,ok,,410,901,410
grid-2965528-m3,ok,,300,901,300
grid-2965529-m1,ok,,404,901,404
grid-2965529-m2,ok,,402,901,402
grid-2965529-m3,ok,,331,901,331
grid-2965530-m1,ok,,331,901,331
grid-2965530-m2,ok,,388,901,388
grid-2967260-m2,ok,,416,901,416
grid-2965530-m3,ok,,484,901,484
grid-2967260-m1,ok,,588,901,587
grid-2967260-m3,ok,,344,901,344
grid-2967262-m1,ok,,332,901,332
grid-2967261-m4,ok,,509,901,1017
grid-2967261-m2,ok,,464,901,927
grid-2967262-m3,ok,,365,901,365
grid-2968611-m1,ok,,466,901,466
grid-2967262-m2,ok,,582,901,582
grid-2968611-m3,ok,,488,901,488
grid-2968612-m1,ok,,361,901,361
grid-2968611-m2,ok,,546,901,546
grid-2968611-m4,ok,,436,901,436
grid-2968612-m3,ok,,330,901,330
grid-2968612-m2,ok,,536,901,536
grid-2968613-m1,ok,,353,901,353
grid-2968612-m4,ok,,354,901,354
grid-2968613-m2,ok,,347,901,347
grid-2968613-m3,ok,,370,901,370
grid-2971821-m1,ok,,2,901,1
grid-2968614-m1,ok,,441,901,441
grid-2968614-m3,ok,,356,901,355
grid-2968614-m2,ok,,625,901,625
grid-2971823-m1,ok,,453,901,903
grid-2971824-m1,ok,,321,901,641
grid-2971822-m2,ok,,520,901,520
grid-2971823-m2,ok,,444,901,887
grid-2971825-m1,ok,,350,901,350
grid-2971824-m2,ok,,522,901,1043
grid-2971825-m2,ok,,453,901,453
grid-2971825-m3,ok,,296,901,296
grid-2972362-m2,ok,,364,901,727
grid-2972363-m2,ok,,337,901,671
grid-2972363-m1,ok,,358,901,715
grid-2972362-m3,ok,,540,901,1079
grid-2973272-m1,ok,,454,901,454
grid-2972363-m3,ok,,435,901,869
grid-2973272-m2,ok,,379,901,379
grid-2973272-m3,ok,,404,901,404
grid-2973272-m4,ok,,361,901,361
grid-2973273-m2,ok,,426,901,426
grid-2973273-m3,ok,,364,901,364
grid-2973273-m1,ok,,537,901,1
grid-2973274-m1,ok,,315,901,315
grid-2973273-m4,ok,,341,901,341
grid-2973274-m2,ok,,411,901,411
grid-2974335-m1,ok,,341,901,341
grid-2973274-m3,ok,,419,901,419
grid-2974335-m2,ok,,342,901,342
grid-2973274-m4,ok,,568,901,568
grid-2974335-m3,ok,,381,901,381
grid-2974337-m1,ok,,382,901,763
grid-2975625-m1,ok,,329,901,329
grid-2974337-m2,ok,,469,901,937
grid-2974337-m3,ok,,445,901,889
grid-2975625-m3,ok,,439,901,439
grid-2975625-m2,ok,,583,901,583
grid-2975625-m4,ok,,531,901,531
grid-2975625-m5,ok,,494,898,494
grid-2975627-m1,ok,,576,901,576
grid-2975627-m2,ok,,386,901,385
grid-2975627-m3,ok,,425,901,425
grid-2975627-m4,ok,,477,901,477
grid-2975628-m2,ok,,359,901,359
grid-2975628-m1,ok,,487,901,487
grid-2975628-m3,ok,,408,901,408
grid-2975628-m4,ok,,650,901,650
grid-2975629-m1,ok,,474,901,474
grid-2975629-m3,ok,,434,901,434
grid-2975628-m5,ok,,475,901,475
grid-2976630-m1,ok,,446,901,446
grid-2975629-m2,ok,,576,901,575
grid-2976630-m2,ok,,382,901,382
grid-2976630-m3,ok,,368,901,368
grid-2976631-m1,ok,,364,901,364
grid-2976631-m5,ok,,296,901,296
grid-2977835-m2,ok,,314,901,627
grid-2976631-m3,ok,,394,901,394
grid-2977835-m1,ok,,443,901,883
grid-2976631-m2,ok,,651,901,651
grid-2977837-m1,ok,,362,901,362
grid-2977835-m3,ok,,464,901,927
grid-2976631-m4,ok,,874,901,874
grid-2977837-m2,ok,,457,901,457
grid-2978288-m3,ok,,359,901,717
grid-2978288-m2,ok,,394,901,787
grid-2978288-m1,ok,,464,901,927
grid-2977837-m3,ok,,638,901,638
grid-2980509-m2,ok,,331,901,331
grid-2980509-m1,ok,,406,901,406
grid-2984640-m1,ok,,299,901,595
grid-2984640-m2,ok,,355,901,709
grid-2980509-m3,ok,,659,901,659
grid-2984640-m3,ok,,392,901,783
grid-2984646-m1,ok,,471,901,471
grid-2984646-m2,ok,,351,901,351
grid-2984645-m2,ok,,382,901,382
grid-2984645-m1,ok,,520,901,520
grid-2987004-m1,ok,,410,901,410
grid-2987004-m4,ok,,397,901,397
grid-2987004-m2,ok,,597,901,597
grid-2987004-m3,ok,,499,901,499
grid-2987005-m2,ok,,367,901,367
grid-2987005-m4,ok,,338,901,338
grid-2987005-m3,ok,,409,901,409
grid-2987006-m1,ok,,391,901,391
grid-2987005-m1,ok,,796,901,796
grid-2987006-m3,ok,,328,901,328
grid-2987006-m2,ok,,485,901,485
grid-2987017-m3,ok,,330,901,330
grid-2987006-m4,ok,,431,901,431
grid-2987017-m1,ok,,395,901,395
grid-2987017-m2,ok,,488,901,487
grid-2987018-m2,ok,,312,901,623
grid-2987018-m1,ok,,511,901,1021
grid-2987018-m4,ok,,334,901,665
grid-2987018-m5,ok,,337,901,669
grid-2987019-m4,ok,,254,901,254
grid-2987019-m3,ok,,455,901,455
grid-2987019-m5,ok,,264,901,264
grid-2987019-m2,ok,,430,901,732
grid-2987019-m1,ok,,563,901,1125
grid-2987020-m1,ok,,393,901,393
grid-2987020-m3,ok,,320,901,320
grid-2987020-m2,ok,,407,901,407
grid-2987020-m4,ok,,404,901,404
grid-2987021-m4,ok,,326,901,326
grid-2987021-m3,ok,,395,901,395
grid-2991209-m2,ok,,379,901,757
grid-2987021-m1,ok,,708,901,708
grid-2987021-m2,ok,,553,901,553
grid-2991210-m1,ok,,459,901,917
grid-2991210-m3,ok,,344,901,687
grid-2991210-m2,ok,,471,901,939
grid-2991213-m2,ok,,253,901,253
grid-2991213-m1,ok,,317,901,317
grid-2991212-m3,ok,,340,901,677
grid-2991212-m1,ok,,453,901,903
grid-2991212-m2,ok,,349,901,697
grid-2991214-m2,ok,,324,901,324
grid-2991217-m1,ok,,315,901,315
grid-2991214-m3,ok,,373,901,373
grid-2991216-m2,ok,,370,901,370
grid-2991214-m1,ok,,795,901,795
grid-2991217-m2,ok,,340,901,340
grid-2991216-m3,ok,,427,901,427
grid-2991218-m1,ok,,496,901,496
grid-2991216-m1,ok,,568,901,568
grid-2994622-m1,ok,,391,901,781
grid-2991218-m2,ok,,425,901,425
grid-2996948-m1,ok,,427,901,853
grid-2994622-m2,ok,,430,901,859
grid-2996948-m2,ok,,529,901,1057
grid-2996948-m3,ok,,371,901,741
grid-2998724-m1,drop,aborted_feed,295,0,589
grid-2996948-m4,ok,,365,901,729
grid-2996948-m5,ok,,384,901,767
grid-2996949-m1,ok,,395,899,787
grid-2996949-m4,ok,,463,897,925
grid-2999024-m1,ok,,352,901,351
grid-2996949-m2,ok,,593,901,1185
grid-2999024-m3,drop,aborted_feed,532,0,532
grid-2998724-m4,ok,,457,901,911
grid-2998724-m3,ok,,510,901,1019
grid-2999024-m4,ok,,326,901,326
grid-2999024-m2,ok,,528,901,528
grid-2999024-m5,ok,,327,901,327
grid-3000371-m1,ok,,365,901,364
grid-3000372-m4,ok,,315,901,315
grid-3000371-m3,ok,,388,901,388
grid-3000371-m2,ok,,549,901,549
grid-3000372-m1,ok,,443,901,443
grid-3000375-m1,ok,,301,901,301
grid-3000372-m2,ok,,488,901,487
grid-3000372-m3,ok,,553,901,553
grid-3000375-m2,ok,,362,901,362
grid-3000375-m3,ok,,433,901,433
grid-3000375-m5,ok,,339,901,339
grid-3002597-m2,ok,,287,901,286
grid-3002597-m1,ok,,524,901,524
grid-3002597-m3,ok,,369,901,369
grid-3000375-m4,ok,,743,901,743
grid-3002598-m2,ok,,438,901,438
grid-3002598-m1,ok,,672,901,672
grid-3002598-m3,ok,,302,901,302
grid-3002598-m4,ok,,310,901,310
grid-3002599-m4,ok,,295,901,295
grid-3002599-m3,ok,,294,901,294
grid-3002599-m2,ok,,386,901,386
grid-3002599-m1,ok,,652,901,652
grid-3002601-m1,drop,aborted_feed,354,0,354
grid-3002600-m1,ok,,474,901,474
grid-3002600-m2,ok,,407,901,407
grid-3002600-m3,ok,,461,901,461
grid-3002600-m4,ok,,480,901,480
grid-3002600-m5,ok,,428,901,428
grid-3002601-m2,ok,,403,901,403
grid-3002601-m4,ok,,352,901,352
grid-3002601-m3,ok,,559,901,559
grid-3002601-m5,ok,,558,901,558
grid-3002602-m1,ok,,420,901,420
grid-3002602-m2,ok,,481,901,481
grid-3002602-m3,ok,,478,901,478
grid-3002602-m4,ok,,527,901,527
grid-3004386-m1,ok,,321,901,321
grid-3002603-m2,ok,,466,901,466
grid-3002603-m3,ok,,329,901,329
grid-3004386-m3,ok,,324,901,324
grid-3004386-m2,ok,,437,901,437
grid-3002603-m1,ok,,669,901,668
grid-3004386-m4,ok,,334,901,334
grid-3004388-m2,ok,,382,901,382
grid-3005559-m2,ok,,124,901,124
grid-3004388-m1,ok,,400,901,400
grid-3004388-m3,ok,,389,901,389
grid-3004388-m4,ok,,382,898,380
grid-3005559-m1,ok,,399,901,399
grid-3005559-m3,ok,,319,901,319
grid-3004388-m5,ok,,522,901,522
grid-3005560-m1,ok,,438,901,438
grid-3005560-m3,ok,,349,901,349
grid-3005560-m2,ok,,371,901,371
grid-3005562-m1,ok,,395,901,395
grid-3005562-m2,ok,,479,901,479
grid-3005563-m1,ok,,409,901,409
grid-3005562-m3,ok,,440,901,440
grid-3005563-m3,ok,,400,901,400
grid-3005563-m4,ok,,449,901,449
grid-3005569-m2,ok,,339,901,339
grid-3005569-m1,ok,,402,901,402
grid-3005563-m2,ok,,616,901,616
grid-3005570-m1,ok,,323,901,323
grid-3005570-m2,ok,,300,901,300
grid-3005569-m3,ok,,461,901,461
grid-3005570-m4,ok,,438,901,438
grid-3005570-m3,ok,,636,901,636
