match,esports_game_id,map_number,outcome_0,outcome_1,yes_is_radiant,model,joined_at_utc,horn_at_utc,grid_delay_s
grid-2964617-m1,115564797163821176,1,Sentinels,Cloud9,False,20260904T193238Z,2026-09-05T20:11:52.664624Z,2026-09-05T20:11:40Z,8.0
grid-2964617-m2,115564797163821177,2,Sentinels,Cloud9,False,20260904T193238Z,2026-09-05T20:56:50.291386Z,2026-09-05T20:56:38Z,8.0
grid-2964619-m1,115564797164345556,1,Shopify Rebellion,FlyQuest,True,20260904T193238Z,2026-09-06T20:07:55.222746Z,2026-09-06T20:07:43Z,8.0
grid-2964619-m2,115564797164345557,2,Shopify Rebellion,FlyQuest,True,20260904T193238Z,2026-09-06T20:58:03.667177Z,2026-09-06T20:57:52Z,8.0
grid-2964620-m1,115564797163886788,1,LYON,Disguised,False,20260904T193238Z,2026-09-06T21:52:13.885924Z,2026-09-06T21:52:00Z,8.0
grid-2964620-m2,115564797163886789,2,LYON,Disguised,True,20260904T193238Z,2026-09-06T22:34:44.050584Z,2026-09-06T22:34:32Z,8.0
grid-2965523-m1,116793933806066929,1,Frites Esports Club,Senshi Esports Club,False,20260831T120859Z,2026-09-01T16:25:24.040603Z,2026-09-01T16:25:12Z,8.0
grid-2965523-m2,116793933806066930,2,Frites Esports Club,Senshi Esports Club,True,20260831T120859Z,2026-09-01T17:44:48.450130Z,2026-09-01T17:38:22Z,8.0
grid-2965523-m3,116793933806066931,3,Frites Esports Club,Senshi Esports Club,True,20260831T120859Z,2026-09-01T18:35:48.583451Z,2026-09-01T18:35:36Z,8.0
grid-2965524-m1,116793933806066933,1,The Bandits,mCon esports,False,20260831T120859Z,2026-09-01T18:17:40.119413Z,2026-09-01T18:17:27Z,8.0
grid-2965524-m2,116793933806066934,2,The Bandits,mCon esports,True,20260831T120859Z,2026-09-01T19:19:11.788098Z,2026-09-01T19:19:00Z,8.0
grid-2965524-m3,116793933806066935,3,The Bandits,mCon esports,False,20260831T120859Z,2026-09-01T20:17:53.106632Z,2026-09-01T20:17:41Z,8.0
grid-2965525-m1,116793933806066943,1,Senshi Esports Club,Myth Esports,True,20260831T120859Z,2026-09-03T16:13:02.182589Z,2026-09-03T16:12:49Z,8.0
grid-2965525-m2,116793933806066944,2,Senshi Esports Club,Myth Esports,False,20260831T120859Z,2026-09-03T17:01:20.149219Z,2026-09-03T17:01:08Z,8.0
grid-2965526-m1,116793933806066947,1,The Bandits,ZennIT,False,20260831T120859Z,2026-09-03T18:02:49.067178Z,2026-09-03T18:02:36Z,8.0
grid-2965526-m2,116793933806066948,2,The Bandits,ZennIT,False,20260831T120859Z,2026-09-03T18:53:43.529960Z,2026-09-03T18:53:32Z,8.0
grid-2965526-m3,116793933806066949,3,The Bandits,ZennIT,True,20260831T120859Z,2026-09-03T19:44:13.757356Z,2026-09-03T19:44:01Z,8.0
grid-2965527-m1,116793933806066937,1,Frites Esports Club,mCon esports,False,20260904T193238Z,2026-09-08T16:09:00.656444Z,2026-09-08T16:08:47Z,8.0
grid-2965527-m2,116793933806066938,2,Frites Esports Club,mCon esports,True,20260904T193238Z,2026-09-08T17:02:53.971749Z,2026-09-08T17:02:41Z,8.0
grid-2965527-m3,116793933806066939,3,Frites Esports Club,mCon esports,True,20260904T193238Z,2026-09-08T17:55:24.726441Z,2026-09-08T17:54:00Z,8.0
grid-2965528-m1,116793933806066951,1,Senshi Esports Club,The Bandits,True,20260904T193238Z,2026-09-10T16:08:05.691535Z,2026-09-10T16:07:53Z,8.0
grid-2965528-m2,116793933806066952,2,Senshi Esports Club,The Bandits,True,20260904T193238Z,2026-09-10T16:57:59.883497Z,2026-09-10T16:57:48Z,8.0
grid-2965528-m3,116793933806066953,3,Senshi Esports Club,The Bandits,True,20260904T193238Z,2026-09-10T17:47:13.190273Z,2026-09-10T17:47:01Z,8.0
grid-2965529-m1,116793933806066957,1,mCon esports,Senshi Esports Club,False,20260912T100410Z,2026-09-15T16:21:58.137154Z,2026-09-15T16:21:46Z,8.0
grid-2965529-m2,116793933806066958,2,mCon esports,Senshi Esports Club,False,20260912T100410Z,2026-09-15T17:17:38.732204Z,2026-09-15T17:17:26Z,8.0
grid-2965529-m3,116793933806066959,3,mCon esports,Senshi Esports Club,False,20260912T100410Z,2026-09-15T18:03:56.558322Z,2026-09-15T18:03:44Z,8.0
grid-2965530-m1,116793933806066963,1,Frites Esports Club,Senshi Esports Club,True,20260915T210431Z,2026-09-17T16:06:17.060373Z,2026-09-17T16:06:04Z,8.0
grid-2965530-m2,116793933806066964,2,Frites Esports Club,Senshi Esports Club,False,20260915T210431Z,2026-09-17T16:58:02.549559Z,2026-09-17T16:57:51Z,8.0
grid-2965530-m3,116793933806066965,3,Frites Esports Club,Senshi Esports Club,False,20260915T210431Z,2026-09-17T17:48:21.810372Z,2026-09-17T17:48:10Z,8.0
grid-2967260-m1,116520885021783385,1,Fuego,3v Team,False,20260831T120859Z,2026-08-31T23:13:13.888247Z,2026-08-31T23:13:01Z,8.0
grid-2967260-m2,116520885021783386,2,Fuego,3v Team,False,20260831T120859Z,2026-09-01T00:08:02.567235Z,2026-09-01T00:07:51Z,8.0
grid-2967260-m3,116520885021783387,3,Fuego,3v Team,False,20260831T120859Z,2026-09-01T00:53:11.720781Z,2026-09-01T00:53:00Z,8.0
grid-2967261-m2,116520721101367284,2,Golden Lions,Maze Gaming,True,20260831T120859Z,2026-09-01T21:06:40.538637Z,2026-09-01T21:06:29Z,8.0
grid-2967261-m4,116520721101367286,4,Golden Lions,Maze Gaming,True,20260831T120859Z,2026-09-01T22:47:50.585712Z,2026-09-01T22:47:38Z,8.0
grid-2967262-m1,116520885021783391,1,Zeu5 Esports,Fuego,True,20260904T193238Z,2026-09-07T23:09:07.687049Z,2026-09-07T23:08:55Z,8.0
grid-2967262-m2,116520885021783392,2,Zeu5 Esports,Fuego,True,20260904T193238Z,2026-09-07T23:56:41.603168Z,2026-09-07T23:56:29Z,8.0
grid-2967262-m3,116520885021783393,3,Zeu5 Esports,Fuego,True,20260904T193238Z,2026-09-08T01:07:01.072795Z,2026-09-08T01:06:50Z,8.0
grid-2968611-m1,116837902961537586,1,Dominion Goblins,Dream Esports,True,20260831T120859Z,2026-09-03T18:14:46.546810Z,2026-09-03T18:14:33Z,8.0
grid-2968611-m2,116837902961537587,2,Dominion Goblins,Dream Esports,True,20260831T120859Z,2026-09-03T19:18:38.786588Z,2026-09-03T19:18:27Z,8.0
grid-2968611-m3,116837902961537588,3,Dominion Goblins,Dream Esports,False,20260831T120859Z,2026-09-03T20:30:55.904559Z,2026-09-03T20:30:44Z,8.0
grid-2968611-m4,116837902961537589,4,Dominion Goblins,Dream Esports,False,20260831T120859Z,2026-09-03T21:29:45.155951Z,2026-09-03T21:29:33Z,8.0
grid-2968612-m1,116837902961537592,1,Bubliki,The Otter Side,False,20260904T193238Z,2026-09-07T18:17:13.818194Z,2026-09-07T18:17:01Z,8.0
grid-2968612-m2,116837902961537593,2,Bubliki,The Otter Side,True,20260904T193238Z,2026-09-07T19:09:55.077331Z,2026-09-07T19:09:44Z,8.0
grid-2968612-m3,116837902961537594,3,Bubliki,The Otter Side,False,20260904T193238Z,2026-09-07T20:01:02.224495Z,2026-09-07T19:59:59Z,8.0
grid-2968612-m4,116837902961537595,4,Bubliki,The Otter Side,False,20260904T193238Z,2026-09-07T20:49:01.907677Z,2026-09-07T20:48:50Z,8.0
grid-2968613-m1,116837902961537598,1,White Dragons,Dominion Goblins,True,20260904T193238Z,2026-09-08T18:21:52.170938Z,2026-09-08T18:21:40Z,8.0
grid-2968613-m2,116837902961537599,2,White Dragons,Dominion Goblins,True,20260904T193238Z,2026-09-08T19:10:33.035675Z,2026-09-08T19:10:21Z,8.0
grid-2968613-m3,116837902961537600,3,White Dragons,Dominion Goblins,True,20260904T193238Z,2026-09-08T19:56:54.656612Z,2026-09-08T19:56:42Z,8.0
grid-2968614-m1,116837902961537604,1,The Otter Side,White Dragons,False,20260912T100410Z,2026-09-13T18:13:55.579852Z,2026-09-13T18:13:42Z,8.0
grid-2968614-m2,116837902961537605,2,The Otter Side,White Dragons,True,20260912T100410Z,2026-09-13T19:25:34.706702Z,2026-09-13T19:25:23Z,8.0
grid-2968614-m3,116837902961537606,3,The Otter Side,White Dragons,True,20260912T100410Z,2026-09-13T20:35:37.741818Z,2026-09-13T20:34:17Z,8.0
grid-2971821-m1,116878159559860076,1,Verdant,Arctic Pandas,False,20260831T120859Z,2026-08-31T16:06:27.043667Z,2026-08-31T16:15:18Z,
grid-2971822-m2,116878159559860081,2,Deer Gaming,The Ruddy Sack,True,20260831T120859Z,2026-08-31T18:57:30.610207Z,2026-08-31T18:55:26Z,8.0
grid-2971823-m1,116878159559860098,1,Deer Gaming,Bulldog Esports,False,20260831T120859Z,2026-09-02T16:09:55.613058Z,2026-09-02T16:09:44Z,8.0
grid-2971823-m2,116878159559860099,2,Deer Gaming,Bulldog Esports,True,20260831T120859Z,2026-09-02T17:05:31.627319Z,2026-09-02T17:05:20Z,8.0
grid-2971824-m1,116878159559860102,1,Verdant,DMG Esports,True,20260831T120859Z,2026-09-02T18:07:24.518203Z,2026-09-02T18:07:10Z,8.0
grid-2971824-m2,116878159559860103,2,Verdant,DMG Esports,False,20260831T120859Z,2026-09-02T18:55:27.490132Z,2026-09-02T18:55:15Z,8.0
