match,n_ticks,n_secs,med_gap,p90_gap,max_gap
grid-2964617-m1,93,86,3.5,13.900000000000006,38.0
grid-2964617-m2,93,84,4.0,11.0,75.0
grid-2964619-m1,94,80,4.0,13.0,50.0
grid-2964619-m2,117,93,2.0,12.0,71.0
grid-2964620-m1,150,126,2.0,8.0,54.0
grid-2964620-m2,117,99,3.0,9.5,72.0
grid-2965523-m1,106,87,2.0,13.600000000000009,74.0
grid-2965523-m2,32,29,5.0,8.0,20.0
grid-2965523-m3,87,75,4.0,13.0,70.0
grid-2965524-m1,87,73,3.0,16.5,73.0
grid-2965524-m2,95,78,2.5,12.700000000000003,76.0
grid-2965524-m3,115,92,3.0,12.400000000000006,78.0
grid-2965525-m1,94,84,3.0,10.799999999999997,43.0
grid-2965525-m2,92,82,4.0,11.0,67.0
grid-2965526-m1,92,72,3.0,13.0,80.0
grid-2965526-m2,86,71,3.0,15.0,41.0
grid-2965526-m3,91,81,3.0,15.0,75.0
grid-2965527-m1,81,73,3.0,12.100000000000009,26.0
grid-2965527-m2,109,96,3.0,9.299999999999997,75.0
grid-2965527-m3,109,93,3.0,9.0,34.0
grid-2965528-m1,101,84,3.0,11.100000000000009,70.0
grid-2965528-m2,107,91,3.0,11.0,75.0
grid-2965528-m3,95,81,3.0,12.0,53.0
grid-2965529-m1,88,80,4.0,11.400000000000006,76.0
grid-2965529-m2,94,84,4.0,11.799999999999997,69.0
grid-2965529-m3,105,91,3.0,11.0,69.0
grid-2965530-m1,80,71,4.0,13.0,54.0
grid-2965530-m2,78,74,5.0,14.400000000000006,73.0
grid-2965530-m3,123,102,3.0,9.900000000000006,19.0
grid-2967260-m1,110,98,3.0,10.0,69.0
grid-2967260-m2,96,79,3.0,11.0,74.0
grid-2967260-m3,91,74,3.0,12.0,74.0
grid-2967261-m2,90,77,3.0,10.200000000000003,37.0
grid-2967261-m4,95,83,4.0,12.0,28.0
grid-2967262-m1,74,61,5.0,15.599999999999994,27.0
grid-2967262-m2,100,85,3.0,13.0,71.0
grid-2967262-m3,95,85,4.0,12.700000000000003,79.0
grid-2968611-m1,92,79,4.0,12.0,33.0
grid-2968611-m2,93,80,3.5,11.900000000000006,74.0
grid-2968611-m3,121,102,3.0,11.0,30.0
