match,feature,pairing,n,mean_diff,med_abs,p90_abs,corr
grid-2964617-m1,radiant_nw_adv,aligned,361,6.581717451523546,31.0,110.0,0.9913663186676678
grid-2964617-m1,radiant_nw_adv,nominal,359,-6.459610027855153,60.0,170.2,0.9787810995173313
grid-2964617-m1,radiant_nw,aligned,361,99.18836565096953,56.0,574.0,0.9996471869196111
grid-2964617-m1,radiant_nw,nominal,359,-0.3565459610027855,73.0,480.59999999999997,0.9995088873947345
grid-2964617-m1,dire_nw,aligned,361,92.60664819944598,75.0,530.0,0.999707674629869
grid-2964617-m1,dire_nw,nominal,359,6.103064066852368,85.0,490.59999999999985,0.9995908202798057
grid-2964617-m1,radiant_xp_adv,aligned,361,14.515235457063712,0.0,680.0,0.9605357043388558
grid-2964617-m1,radiant_xp_adv,nominal,359,36.211699164345404,0.0,880.0,0.9176541821022328
grid-2964617-m1,deaths_radiant,aligned,361,0.0,0.0,0.0,0.9999999999999998
grid-2964617-m1,deaths_radiant,nominal,359,-0.016713091922005572,0.0,0.0,0.9803684526910499
grid-2964617-m1,deaths_dire,aligned,361,0.0,0.0,0.0,0.9957897449960895
grid-2964617-m1,deaths_dire,nominal,359,-0.027855153203342618,0.0,0.0,0.9900876656287186
grid-2964617-m1,top1_nw_adv,aligned,361,17.041551246537395,20.0,55.0,0.9463673715775655
grid-2964617-m1,top1_nw_adv,nominal,359,14.37325905292479,26.0,76.39999999999998,0.8915529954537557
grid-2964617-m1,radiant_top1_nw_ratio,aligned,361,-0.0010070283808408594,0.0013276251004629425,0.006721425631615596,0.8770264514826137
grid-2964617-m1,radiant_top1_nw_ratio,nominal,359,-0.0011704988135263726,0.0014147722032935017,0.007147735540952591,0.8547575195945897
grid-2964617-m1,dire_top1_nw_ratio,aligned,361,-0.0035302305801803565,0.0027449657544690864,0.008291535077256024,0.8616488878972415
grid-2964617-m1,dire_top1_nw_ratio,nominal,359,-0.003629230382790584,0.0025419853293000283,0.00889544449056343,0.8142851146914531
grid-2964617-m2,radiant_nw_adv,aligned,344,-35.7093023255814,50.0,139.79999999999995,0.8225155711268954
grid-2964617-m2,radiant_nw_adv,nominal,342,-43.78362573099415,52.5,169.0,0.8164904768918849
grid-2964617-m2,radiant_nw,aligned,344,-43.06395348837209,83.0,248.89999999999992,0.9994635487293756
grid-2964617-m2,radiant_nw,nominal,342,-106.60526315789474,139.5,271.60000000000014,0.9994154169182836
grid-2964617-m2,dire_nw,aligned,344,-7.354651162790698,45.0,276.09999999999997,0.9996905749496536
grid-2964617-m2,dire_nw,nominal,342,-62.82163742690059,87.5,268.0,0.9996613192235796
grid-2964617-m2,radiant_xp_adv,aligned,344,-1.8604651162790697,0.0,580.0,0.9316203718763594
grid-2964617-m2,radiant_xp_adv,nominal,342,-16.31578947368421,0.0,680.0,0.911360642351475
grid-2964617-m2,deaths_radiant,aligned,344,0.00872093023255814,0.0,0.0,0.9942619981707591
grid-2964617-m2,deaths_radiant,nominal,342,-0.005847953216374269,0.0,0.0,0.9961231378342635
grid-2964617-m2,deaths_dire,aligned,344,0.0,0.0,0.0,0.9798527018150096
grid-2964617-m2,deaths_dire,nominal,342,-0.005847953216374269,0.0,0.0,0.9796878117519678
grid-2964617-m2,top1_nw_adv,aligned,344,39.30523255813954,10.0,289.39999999999975,0.7035738314444174
grid-2964617-m2,top1_nw_adv,nominal,342,36.6578947368421,21.5,296.0,0.6812417055066862
grid-2964617-m2,radiant_top1_nw_ratio,aligned,344,0.0009161867083798747,0.0012625694064031107,0.005521770237580124,0.7994848580383039
grid-2964617-m2,radiant_top1_nw_ratio,nominal,342,0.0005618821528590439,0.0015565284480762998,0.006243827243802649,0.7857221007440883
grid-2964617-m2,dire_top1_nw_ratio,aligned,344,-0.0017941512090656007,0.002100090478146993,0.011241035391944477,0.7798707144605033
