match,second,delta_grid,market_p_radiant,market_radiant_prior,delta_ls_nominal,delta_ls_aligned
grid-2964617-m1,76,-0.006922833532734003,0.435,0.49,0.004544025489681743,-0.007868891352544696
grid-2964617-m1,78,-0.011591383739003475,0.435,0.49,0.013995373377621079,0.004544025489681743
grid-2964617-m1,86,0.014539211510013417,0.43,0.49,0.018267281510037557,0.02304589615706324
grid-2964617-m1,99,0.02807201567001365,0.43,0.49,0.01834198800845868,0.011335329112707558
grid-2964617-m1,104,0.027885167721790467,0.435,0.49,0.02915306896374078,0.0186024844035022
grid-2964617-m1,108,0.034418367801910855,0.43,0.49,0.034418367801910855,0.02910447937046478
grid-2964617-m1,108,0.03411653357180986,0.43,0.49,0.034418367801910855,0.02910447937046478
grid-2964617-m1,110,0.035281181378042634,0.43,0.49,0.03440618136333971,0.03324623940507067
grid-2964617-m1,112,0.03539102772188123,0.42,0.49,0.037573176105025294,0.0336701064175814
grid-2964617-m1,117,0.04224939160304902,0.405,0.49,0.040510788313332435,0.04182605357287615
grid-2964617-m1,120,0.04495742111353128,0.42,0.49,0.035356444841198195,0.040508616380129335
grid-2964617-m1,122,0.04223737866610562,0.425,0.49,0.03535497186149924,0.03532542209394087
grid-2964617-m1,124,0.04060663400653271,0.425,0.49,0.03527235363368066,0.035356444841198195
grid-2964617-m1,125,0.040699515087514446,0.425,0.49,0.03527235363368066,0.03535497186149924
grid-2964617-m1,141,0.018428663732960714,0.42,0.49,-0.006962223437543287,0.00448690476307995
grid-2964617-m1,148,0.023139073830325936,0.42,0.49,0.002110141943139036,-0.003930734853013673
grid-2964617-m1,150,0.002025202693785093,0.42,0.49,0.010278708066228137,-0.007235288927084702
grid-2964617-m1,159,0.02265400140592088,0.425,0.49,0.01911802587668739,0.02265400140592088
grid-2964617-m1,162,0.02141175889763624,0.425,0.49,0.017336445035237614,0.01911802587668739
grid-2964617-m1,168,0.014487462432794104,0.425,0.49,0.03263245200034471,0.013519301502374289
grid-2964617-m1,168,0.017473575068425794,0.425,0.49,0.03263245200034471,0.013519301502374289
grid-2964617-m1,170,0.01904141705678209,0.415,0.49,0.03425160120879559,0.018350971829381137
grid-2964617-m1,174,0.034320004337701174,0.415,0.49,0.03271581321615057,0.03425160120879559
grid-2964617-m1,176,0.035112941805228406,0.415,0.49,0.02876676862649996,0.034320004337701174
grid-2964617-m1,176,0.03486491711073818,0.415,0.49,0.02876676862649996,0.034320004337701174
grid-2964617-m1,191,0.027107192508122147,0.425,0.49,0.021478222053562854,0.01751691895261909
grid-2964617-m1,198,0.026143752905350988,0.425,0.49,0.017869967060603592,0.017869967060603592
