match,map_number,live_prior,ds_prior,d,absd
grid-2964617-m1,1,0.49,0.44,0.04999999999999999,0.04999999999999999
grid-2964617-m2,2,0.585,0.575,0.010000000000000009,0.010000000000000009
grid-2964619-m1,1,0.365,0.345,0.020000000000000018,0.020000000000000018
grid-2964619-m2,2,0.435,0.435,0.0,0.0
grid-2964620-m1,1,0.115,0.11499999999999999,1.3877787807814457e-17,1.3877787807814457e-17
grid-2964620-m2,2,0.905,0.905,0.0,0.0
grid-2965523-m3,3,0.79,0.79,0.0,0.0
grid-2965524-m2,2,0.485,0.485,0.0,0.0
grid-2965524-m3,3,0.32,0.325,-0.0050000000000000044,0.0050000000000000044
grid-2965525-m1,1,0.66,0.36,0.30000000000000004,0.30000000000000004
grid-2965527-m2,2,0.835,0.835,0.0,0.0
grid-2965528-m1,1,0.405,0.4645,-0.0595,0.0595
grid-2965528-m2,2,0.38,0.385,-0.0050000000000000044,0.0050000000000000044
grid-2965528-m3,3,0.54,0.54,0.0,0.0
grid-2965529-m1,1,0.595,0.575,0.020000000000000018,0.020000000000000018
grid-2965529-m2,2,0.61,0.615,-0.0050000000000000044,0.0050000000000000044
grid-2965529-m3,3,0.7208121827411167,0.6,0.12081218274111671,0.12081218274111671
grid-2965530-m2,2,0.155,0.13,0.024999999999999994,0.024999999999999994
grid-2965530-m3,3,0.075,0.10000000000000002,-0.025000000000000022,0.025000000000000022
grid-2967261-m2,2,0.575,0.545,0.029999999999999916,0.029999999999999916
grid-2967262-m1,1,0.41,0.42,-0.010000000000000009,0.010000000000000009
grid-2967262-m2,2,0.36,0.33999999999999997,0.020000000000000018,0.020000000000000018
grid-2967262-m3,3,0.405,0.405,0.0,0.0
grid-2968611-m4,4,0.34,0.34,0.0,0.0
grid-2968612-m1,1,0.46,0.495,-0.034999999999999976,0.034999999999999976
grid-2968612-m2,2,0.395,0.305,0.09000000000000002,0.09000000000000002
grid-2968612-m3,3,0.625,0.725,-0.09999999999999998,0.09999999999999998
grid-2968613-m1,1,0.81,0.785,0.025000000000000022,0.025000000000000022
grid-2968613-m2,2,0.855,0.8400000000000001,0.014999999999999902,0.014999999999999902
grid-2968613-m3,3,0.885,0.8400000000000001,0.04499999999999993,0.04499999999999993
grid-2968614-m1,1,0.8020304568527918,0.81,-0.007969543147208213,0.007969543147208213
grid-2968614-m2,2,0.09,0.095,-0.0050000000000000044,0.0050000000000000044
grid-2971822-m2,2,0.2515,0.2595,-0.008000000000000007,0.008000000000000007
grid-2971823-m1,1,0.585,0.565,0.020000000000000018,0.020000000000000018
grid-2971823-m2,2,0.48,0.365,0.11499999999999999,0.11499999999999999
grid-2971824-m2,2,0.17,0.195,-0.024999999999999994,0.024999999999999994
grid-2971825-m1,1,0.495,0.583,-0.08799999999999997,0.08799999999999997
grid-2971825-m2,2,0.425,0.45999999999999996,-0.034999999999999976,0.034999999999999976
grid-2971825-m3,3,0.7175,0.651,0.0665,0.0665
grid-2972362-m2,2,0.355,0.355,0.0,0.0
grid-2972362-m3,3,0.33,0.315,0.015000000000000013,0.015000000000000013
grid-2972363-m1,1,0.62,0.63,-0.010000000000000009,0.010000000000000009
grid-2972363-m2,2,0.605,0.66,-0.05500000000000005,0.05500000000000005
