match,second,live_prior,ds_prior,delta_live_prior,delta_ds_prior
grid-2964617-m1,76,0.49,0.44,-0.006922833532734003,-0.00852569517894301
grid-2964617-m1,78,0.49,0.44,-0.011591383739003472,-0.012366459279745874
grid-2964617-m1,86,0.49,0.44,0.014539211510013417,0.005379598932899311
grid-2964617-m1,99,0.49,0.44,0.02807201567001365,0.009792148028361675
grid-2964617-m1,104,0.49,0.44,0.02788516772179047,0.009795811106779571
grid-2964617-m1,108,0.49,0.44,0.034418367801910855,0.013805162842266502
grid-2964617-m1,108,0.49,0.44,0.034418367801910855,0.013805162842266502
grid-2964617-m1,110,0.49,0.44,0.035281181378042634,0.014034591649735173
grid-2964617-m1,112,0.49,0.44,0.03539102772188123,0.014271133611777623
grid-2964617-m1,117,0.49,0.44,0.04224939160304902,0.027587533934941268
grid-2964617-m1,120,0.49,0.44,0.04495742111353128,0.03126738614801543
grid-2964617-m1,122,0.49,0.44,0.042237378666105614,0.02575423480606149
grid-2964617-m1,124,0.49,0.44,0.04060663400653271,0.0234555261779088
grid-2964617-m1,125,0.49,0.44,0.040699515087514446,0.02371628784925265
grid-2964617-m1,141,0.49,0.44,0.01842866373296071,0.006638904322645178
grid-2964617-m1,148,0.49,0.44,0.02313907383032594,0.009290307874404267
grid-2964617-m1,150,0.49,0.44,0.002025202693785093,-0.002222975198393643
grid-2964617-m1,159,0.49,0.44,0.02265400140592088,0.007765325668305814
grid-2964617-m1,162,0.49,0.44,0.02141175889763624,0.008033250232357108
grid-2964617-m1,168,0.49,0.44,0.014487462432794102,0.0007622536374201229
grid-2964617-m1,168,0.49,0.44,0.014487462432794102,0.0007622536374201229
grid-2964617-m1,170,0.49,0.44,0.01904141705678209,0.006064444110987611
grid-2964617-m1,174,0.49,0.44,0.034320004337701174,0.012979945427086238
grid-2964617-m1,176,0.49,0.44,0.0351129418052284,0.01313949812595036
grid-2964617-m1,176,0.49,0.44,0.0351129418052284,0.01313949812595036
grid-2964617-m1,191,0.49,0.44,0.02710719250812215,0.007641693832425
grid-2964617-m1,198,0.49,0.44,0.02614375290535098,0.0077938291018358405
grid-2964617-m1,216,0.49,0.44,0.02195080192543127,0.006418992903841401
grid-2964617-m1,218,0.49,0.44,-0.01545083165441341,-0.0161055147407504
grid-2964617-m1,220,0.49,0.44,-0.023695035324960808,-0.024672093702738828
grid-2964617-m1,221,0.49,0.44,-0.014808022801978155,-0.01559882021977694
grid-2964617-m1,228,0.49,0.44,0.01088481158108189,-0.0013685497693591265
grid-2964617-m1,231,0.49,0.44,0.027705163069530036,0.003156011487488331
grid-2964617-m1,234,0.49,0.44,0.026844780994656016,0.0015011550741191992
grid-2964617-m1,238,0.49,0.44,0.014115151236303834,-0.0009333012482730833
grid-2964617-m1,240,0.49,0.44,0.020919586088049728,0.005059186923841106
grid-2964617-m1,256,0.49,0.44,0.03448234529185,0.008694191474745165
grid-2964617-m1,258,0.49,0.44,0.03512152183775401,0.011424376296858317
grid-2964617-m1,264,0.49,0.44,0.037652488101882126,0.01699730344629182
grid-2964617-m1,282,0.49,0.44,0.05107704417768881,0.04868051272548458
grid-2964617-m1,292,0.49,0.44,0.04045887009986219,0.03428336856252651
grid-2964617-m1,296,0.49,0.44,0.040447638150744786,0.03414585940317789
grid-2964617-m1,302,0.49,0.44,0.04241155917902413,0.03666914819028194
grid-2964617-m1,309,0.49,0.44,0.04430039209609231,0.04081844624445375
grid-2964617-m1,310,0.49,0.44,0.046214896376036776,0.04208258802391793
grid-2964617-m1,322,0.49,0.44,0.05019132435067084,0.04467517173844153
grid-2964617-m1,324,0.49,0.44,0.050181501587385914,0.046023713823590454
grid-2964617-m1,326,0.49,0.44,0.055622451717124585,0.05336074892829649
grid-2964617-m1,328,0.49,0.44,0.0459789529015075,0.039488418927516145
grid-2964617-m1,328,0.49,0.44,0.0459789529015075,0.039488418927516145
grid-2964617-m1,338,0.49,0.44,0.05160992201488364,0.04646110742573693
grid-2964617-m1,345,0.49,0.44,0.05284018052288737,0.05002000305711163
grid-2964617-m1,346,0.49,0.44,0.050721512529463275,0.047442741130313174
grid-2964617-m1,368,0.49,0.44,0.03281257415330819,0.023628164701895105
grid-2964617-m1,369,0.49,0.44,0.03160929973063552,0.020524198920615765
grid-2964617-m1,372,0.49,0.44,0.027142135188785027,0.017198767142793343
grid-2964617-m1,376,0.49,0.44,0.03082748294123395,0.022813023432444776
grid-2964617-m1,390,0.49,0.44,0.03626930913830323,0.030006156122443124
grid-2964617-m1,392,0.49,0.44,0.03883584404351934,0.03304795975042107
grid-2964617-m1,393,0.49,0.44,0.039278647772251166,0.03339696929718891
grid-2964617-m1,394,0.49,0.44,0.03866118664023201,0.03176862676791305
grid-2964617-m1,397,0.49,0.44,0.03568401729018113,0.02851821571249824
grid-2964617-m1,398,0.49,0.44,0.03250449406680709,0.024916258687340636
grid-2964617-m1,399,0.49,0.44,0.03273013996997071,0.024803831442953842
grid-2964617-m1,402,0.49,0.44,0.03518583095800074,0.03245811123000457
grid-2964617-m1,414,0.49,0.44,0.03400498939220052,0.030932614839569723
grid-2964617-m1,419,0.49,0.44,0.03584031085381349,0.03302312716404203
