match,xp_step_offset,n,sd
grid-2964617-m1,3.0,39,10.40431812443521
grid-2964617-m2,2.0,32,0.7071067811865476
grid-2964619-m1,2.0,38,1.1275939624015026
grid-2964619-m2,3.0,37,2.007291311094826
grid-2964620-m1,2.0,36,9.133272505880171
grid-2964620-m2,2.0,41,0.7194088392074451
grid-2965523-m1,2.0,35,2.418635135436378
grid-2965523-m2,1.0,18,10.474690248521393
grid-2965523-m3,2.0,42,0.8984743935292003
grid-2965524-m1,2.0,35,3.053268573118296
grid-2965524-m2,3.0,42,1.9424836242258228
grid-2965524-m3,3.0,51,3.0252048967690763
grid-2965525-m1,1.0,35,6.44980619863884
grid-2965525-m2,3.0,29,0.7265968105415682
grid-2965526-m1,3.0,37,3.7138321591131205
grid-2965526-m2,3.0,39,3.7507833939559982
grid-2965526-m3,3.0,38,1.4604670447906956
grid-2965527-m1,2.0,32,1.8360538526960477
grid-2965527-m2,3.0,35,3.7521150498004157
grid-2965527-m3,2.0,39,0.9294650748918901
grid-2965528-m1,2.0,46,0.6164107338590359
grid-2965528-m2,3.0,37,7.5036879172435205
grid-2965528-m3,1.0,44,1.4234967422536
grid-2965529-m1,2.0,43,0.9866606249114617
grid-2965529-m2,2.0,36,0.6431020501550125
grid-2965529-m3,2.0,40,9.075241043630744
grid-2965530-m1,3.0,39,1.493355874724209
grid-2965530-m2,2.0,35,0.7362342129557214
grid-2965530-m3,3.0,32,8.27057094462045
grid-2967260-m1,2.0,39,1.1586793361738466
grid-2967260-m2,2.0,36,6.853121754191863
grid-2967260-m3,3.0,42,0.7453559924999299
grid-2967261-m2,2.0,40,1.5147194459701112
grid-2967261-m4,2.5,44,1.5459558010638519
grid-2967262-m1,-1.0,39,0.8619351955882879
grid-2967262-m2,3.0,33,0.7360580485752194
grid-2967262-m3,2.0,44,1.1281521496355325
grid-2968611-m1,2.0,38,9.609588067419162
grid-2968611-m2,3.0,39,1.5806189751202506
grid-2968611-m3,3.0,42,0.816496580927726
grid-2968611-m4,2.5,44,1.2120265114521256
grid-2968612-m1,2.0,37,0.7548237861496724
grid-2968612-m2,2.0,43,0.5855664331169381
grid-2968612-m3,2.0,40,8.123884538815158
grid-2968612-m4,3.0,40,10.086624807139403
grid-2968613-m1,2.0,38,1.2554589938817433
grid-2968613-m2,3.0,34,4.257295793581701
grid-2968613-m3,2.0,44,1.8767553766545209
grid-2968614-m1,2.0,45,2.230650682903041
grid-2968614-m2,3.0,38,0.803817071015856
grid-2968614-m3,2.0,30,0.8055363982396381
grid-2971822-m2,3.0,31,5.385068190587161
grid-2971823-m1,2.0,38,5.168423732446514
grid-2971823-m2,2.0,46,3.4608258681969386
grid-2971824-m1,3.0,46,4.818688021993967
grid-2971824-m2,3.0,40,1.6338222057494507
grid-2971825-m1,1.0,31,2.441404893990258
grid-2971825-m2,2.0,42,2.6178568721713193
grid-2971825-m3,1.0,32,1.2243461265099833
grid-2972362-m2,3.0,35,0.9731077923386515
grid-2972362-m3,3.0,41,0.5802623050424546
grid-2972363-m1,2.0,28,9.72189827772586
grid-2972363-m2,3.0,31,7.498317535880072
grid-2972363-m3,3.0,33,0.5504818825631803
grid-2973272-m1,2.5,30,1.9043809142780934
grid-2973272-m2,2.0,30,1.4067298564006125
grid-2973272-m3,3.0,33,10.305525544547026
grid-2973272-m4,2.0,39,7.8713354914817915
grid-2973273-m1,3.0,33,8.110123592350218
grid-2973273-m2,3.0,33,4.212230214416945
grid-2973273-m3,3.0,34,2.7141816458963124
grid-2973273-m4,2.0,34,3.134251012884052
grid-2973274-m1,3.0,33,3.6964728926004624
grid-2973274-m2,3.0,44,0.9628963711052209
grid-2973274-m3,4.0,40,6.602982280757688
grid-2973274-m4,2.0,33,2.7296286120941926
grid-2974335-m1,3.0,38,9.965487535903842
grid-2974335-m2,2.0,38,1.5550828108099108
grid-2974335-m3,2.0,28,4.5930015529396595
grid-2974337-m1,3.0,36,4.085505846855608
grid-2974337-m2,2.0,31,1.562436263008043
grid-2974337-m3,3.0,35,2.419984820326823
grid-2975625-m1,3.0,40,4.471017781221632
grid-2975625-m2,3.0,39,1.2753671913277833
grid-2975625-m3,2.0,39,0.7466779373621044
grid-2975625-m4,2.0,38,0.6662625737459033
grid-2975625-m5,-3.0,36,3.095571308885496
grid-2975627-m1,2.0,31,4.330757792732493
grid-2975627-m2,2.0,34,4.808801043300549
grid-2975627-m3,2.0,40,2.507987240796891
grid-2975627-m4,2.0,35,1.8450153475386215
grid-2975628-m1,2.5,36,0.7216878364870323
grid-2975628-m2,2.0,33,0.6356417261637282
grid-2975628-m3,2.0,37,0.874941300337224
grid-2975628-m4,2.0,37,2.907384618131936
grid-2975628-m5,2.0,32,2.1612261421470915
grid-2975629-m1,2.0,42,6.625382374623923
grid-2975629-m2,3.0,32,14.111131189153475
grid-2975629-m3,2.0,37,8.358826358179378
grid-2976630-m1,3.0,34,2.053985913166857
grid-2976630-m2,2.0,36,0.97618241060031
grid-2976630-m3,3.0,38,1.115243163179847
