match_id,cond,series,map,joined,slug,radiant,dire,has_grid,has_session,egid,has_windows,has_details,dur
grid-2964617-m1,0x3aea17c2c4d7a938d09d10a663190711b2df524edf9d00493a4c3c20ebdc59bb,2964617,1,2026-09-05T20:11:52.664624Z,lol-sen-c9-2026-09-05-game1,Cloud9 Kia,Sentinels,True,True,115564797163821176,True,True,1620.0
grid-2964617-m2,0x200e622589aa7012240572b7c3db42f953c4f43d020965f6695a9a4f8fe2a20e,2964617,2,2026-09-05T20:56:50.291386Z,lol-sen-c9-2026-09-05-game2,Cloud9 Kia,Sentinels,True,True,115564797163821177,True,True,1972.0
grid-2964619-m1,0x95364e57745e3496a4572d7a886cbaa9beb38e9a02d1526619398825b2934c16,2964619,1,2026-09-06T20:07:55.222746Z,lol-sr-fly-2026-09-06-game1,Shopify Rebellion,FlyQuest,True,True,115564797164345556,True,True,1937.0
grid-2964619-m2,0x9d4352b8b7f22c3946dda174cadf14e28555b99d84d7c4639355d5d17cad5854,2964619,2,2026-09-06T20:58:03.667177Z,lol-sr-fly-2026-09-06-game2,Shopify Rebellion,FlyQuest,True,True,115564797164345557,True,True,1920.0
grid-2964620-m1,0xe4e20638c3d7f37f631bc9697058dc69c1ccf89cac6784cefbc87294806b3080,2964620,1,2026-09-06T21:52:13.885924Z,lol-ly-dsg-2026-09-06-game1,Disguised,LYON,True,True,115564797163886788,True,True,1428.0
grid-2964620-m2,0x5d22e3ac17107d7846690a5b9bbe46a0ba972e0bc0cfdd409bf3a58c3483193f,2964620,2,2026-09-06T22:34:44.050584Z,lol-ly-dsg-2026-09-06-game2,LYON,Disguised,True,True,115564797163886789,True,True,1454.0
grid-2965523-m1,0xa9b4d64d7c5a7c275ece82bf0226ec1e07d832a156a8c0638f13c71adaf0aa92,2965523,1,2026-09-01T16:25:24.040603Z,lol-fec-sec-2026-09-01-game1,Senshi eSports,Frites Esports Club,True,True,116793933806066929,True,True,2824.0
grid-2965523-m2,0xa6e2bd424e7e93a4417ddccb6b822d8a817f768047114a69938182c95f459a90,2965523,2,2026-09-01T17:44:48.450130Z,lol-fec-sec-2026-09-01-game2,Frites Esports Club,Senshi eSports,True,True,116793933806066930,True,True,1775.0
grid-2965523-m3,0x8652e3a6df33417eeb5ae9a10d1282a7e38dfa6afca7cbaf35a15604988f563c,2965523,3,2026-09-01T18:35:48.583451Z,lol-fec-sec-2026-09-01,Frites Esports Club,Senshi eSports,True,True,116793933806066931,True,True,1439.0
grid-2965524-m1,0xc8cf2bc5aee797cc3f86bc1acbe09ea593597a5d067d9823f4aa2b144fbcd6df,2965524,1,2026-09-01T18:17:40.119413Z,lol-ban2-mcn-2026-09-01-game1,mCon esports,The Bandits,True,True,116793933806066933,True,True,1789.0
