tournament,maps,maps_with_fills,fills,buy_notional_known_net_maps,net_known_maps,net_per_buy_notional,maps_with_known_net
LCK - Split 3 2026 (Regional Championship: Regional Championship),32,30,221,1836.043025,21.40347099999998,0.011657390762942485,30
LEC - Summer 2026 (Playoffs: Playoffs),31,27,223,1807.8165119999999,-34.45731300000006,-0.019060182696240394,30
Road of Legends - Summer 2026 (Playoffs: Playoffs),23,15,124,958.952031,-74.28162364500002,-0.07746125066082687,22
Hitpoint Masters - Summer 2026 (Playoffs: Playoffs),23,10,88,734.655613,-44.126412999999964,-0.060064079303508926,23
NACL - Summer 2026 (Playoffs: Playoffs),22,17,155,1006.686055,-25.54188288399999,-0.025372242674008224,22
Liga Portuguesa - Summer 2026 (Playoffs: Playoffs),19,14,88,458.778225,-35.47322900000001,-0.07732108253394111,19
Hitpoint Masters - Summer 2026 (Regular Season: Regular Season),19,6,24,216.23979200000002,8.661068999999975,0.04005307681760984,19
LCS - Split 3 2026 (Playoffs: Playoffs),15,13,98,856.748366,-3.2030329000000064,-0.0037385923651706227,15
CBLOL - Split 2 2026 (Playoffs: Playoffs),12,10,73,773.065886,-5.7850691090000295,-0.007483280809263429,11
EMEA Masters - Summer 2026 (Play-Ins: Group A),11,8,35,386.163867,-10.141667000000016,-0.026262599550775725,11
NLC - Summer 2026 (Playoffs: Playoffs),9,5,25,125.11485,-11.613177308499996,-0.09282013532766091,8
Esports Balkan League - Summer 2026 (Regional Finals: Regional Finals),9,5,55,154.81203200000002,-2.5156389200000078,-0.016249634395342136,8
LJL - Summer 2026 (Regional Championship: Regional Championship),8,4,16,64.563256,-2.999964000000001,-0.046465500438825476,8
La Ligue Française - Summer 2026 (Playoffs: Playoffs),8,7,80,1156.473114,-120.64553099999998,-0.10432195054039102,8
Rift Legends - Summer 2026 (Round 2: Round 2),7,7,24,298.488756,-59.409658000000015,-0.19903482729513608,7
LCS - Split 3 2026 (Regular Season: Regular Season),6,4,31,130.318113,-1.3020139999999962,-0.009991043992480126,6
LRN - Split 2 2026 (Playoffs: Playoffs),6,3,17,118.56110000000001,-15.754399999999992,-0.1328800087043726,6
Circuito Desafiante - Split 2 2026 (Playoffs: Playoffs),6,6,16,120.820358,-2.620359999999998,-0.021688066840523663,6
LoL Italian Tournament - Summer 2026 (Playoffs: Playoffs),6,3,11,53.7497,-3.1511671200000047,-0.0586266922420033,6
LES - Summer 2026 (Regional Finals: Regional Finals),5,4,36,425.57492,10.567168000000061,0.024830335396644285,5
EMEA Masters - Summer 2026 (Play-Ins: Group B),4,0,0,0,0.0,,4
EMEA Masters - Summer 2026 (Play-Ins: Group C),4,1,4,39.989399999999996,-0.48179999999999623,-0.012048192771084244,4
Prime League - Summer 2026 (Playoffs: Playoffs),3,3,23,196.769,-17.370305000000023,-0.08827765044290525,3
Hellenic Legends League - Summer 2026 (Playoffs: Playoffs),3,2,13,601.4987000000001,-41.58440399999999,-0.06913465315885135,3
EMEA Masters - Summer 2026 (Play-Ins: Group D),3,1,5,59.9911,-2.0713000000000044,-0.03452678814024087,3
LRS - Split 2 2026 (Playoffs: Playoffs),2,1,2,6.3,1.7000000000000002,0.2698412698412699,2
TCL - Summer 2026 (Playoffs: Playoffs),2,1,5,99.97058799999998,33.143808000000035,0.33153559124809834,2
