dir,train_prior,live_prior,train_mid0,live_first_mid,live_first_model_second,diff_c,flip_diff_c
grid-3002598-m1,0.795,0.785,0.795,0.795,79,-1.0000000000000009,58.00000000000001
grid-3002598-m2,0.785,0.775,0.785,0.795,78,-1.0000000000000009,56.00000000000001
grid-3002598-m3,0.225,0.245,0.225,0.305,78,1.9999999999999991,-53.0
grid-3002598-m4,0.765,0.775,0.765,0.745,81,1.0000000000000009,54.0
grid-3002597-m1,0.685,0.695,0.685,0.795,82,0.9999999999999898,38.0
grid-3002597-m2,0.755,0.695,0.755,0.765,82,-6.000000000000005,44.99999999999999
grid-3002597-m3,0.705,0.665,0.705,0.705,80,-3.9999999999999925,37.0
grid-3002599-m1,0.555,0.555,0.555,0.555,39,0.0,11.00000000000001
grid-3002599-m2,0.525,0.505,0.525,0.535,90,-2.0000000000000018,3.0000000000000027
grid-3002599-m3,0.575,0.495,0.575,0.505,86,-7.9999999999999964,6.999999999999995
grid-3002599-m4,0.585,0.555,0.585,0.575,78,-2.9999999999999916,14.000000000000002
grid-3002600-m1,0.485,0.485,0.485,0.475,92,0.0,-3.0000000000000027
grid-3002600-m3,0.545,0.575,0.545,0.495,78,2.9999999999999916,12.0
grid-3002600-m4,0.485,0.475,0.485,0.455,92,-1.0000000000000009,-4.0000000000000036
grid-3002600-m5,0.605,0.565,0.605,0.575,86,-4.0000000000000036,16.999999999999993
grid-3002601-m2,0.545,0.565,0.545,0.575,90,1.9999999999999907,10.999999999999998
grid-3002601-m3,0.485,0.505,0.485,0.43,46,2.0000000000000018,-1.0000000000000009
grid-3002601-m4,0.475,0.465,0.475,0.53,81,-0.9999999999999953,-6.0
grid-3002601-m5,0.655,0.615,0.655,0.645,79,-4.0000000000000036,27.0
grid-3002602-m1,0.635,0.595,0.635,0.645,92,-4.0000000000000036,23.0
grid-3002602-m2,0.555,0.625,0.555,0.585,37,6.999999999999995,18.000000000000004
grid-3002602-m3,0.595,0.625,0.595,0.575,77,3.0000000000000027,21.999999999999996
grid-3002602-m4,0.635,0.625,0.635,0.625,75,-1.0000000000000009,26.0
grid-3002603-m1,0.675,0.625,0.675,0.685,79,-5.000000000000004,30.000000000000004
grid-3002603-m2,0.355,0.355,0.355,0.395,78,0.0,-29.000000000000004
grid-2964617-m1,0.44,0.49,0.44,0.435,76,4.999999999999999,-7.000000000000006
grid-2964617-m2,0.575,0.585,0.575,0.555,81,1.0000000000000009,15.999999999999993
grid-2964620-m1,0.11499999999999999,0.115,0.11499999999999999,0.11499999999999999,74,1.3877787807814457e-15,-77.0
grid-2964620-m2,0.905,0.905,0.905,0.905,79,0.0,81.0
grid-2964619-m1,0.345,0.365,0.345,0.44,73,2.0000000000000018,-29.000000000000004
grid-2964619-m2,0.435,0.435,0.435,0.425,80,0.0,-12.999999999999995
grid-2980509-m1,0.215,0.255,0.215,0.215,79,4.000000000000001,-53.0
grid-2980509-m2,0.735,0.745,0.735,0.745,77,1.0000000000000009,48.0
grid-2980509-m3,0.725,0.705,0.725,0.715,78,-2.0000000000000018,42.99999999999999
grid-3000371-m1,0.565,0.525,0.565,0.585,80,-3.9999999999999925,8.999999999999996
grid-3000371-m2,0.415,0.485,0.415,0.435,79,7.000000000000001,-9.999999999999998
grid-3000371-m3,0.56,0.535,0.56,0.535,84,-2.500000000000002,9.500000000000009
grid-3000372-m2,0.335,0.335,0.335,0.345,80,0.0,-33.0
grid-3000372-m3,0.645,0.635,0.645,0.595,78,-1.0000000000000009,28.000000000000004
grid-3000372-m4,0.335,0.385,0.335,0.345,83,4.999999999999999,-28.000000000000004
grid-3000375-m1,0.365,0.375,0.365,0.355,78,1.0000000000000009,-26.0
grid-3000375-m2,0.635,0.665,0.635,0.615,88,3.0000000000000027,30.000000000000004
grid-3000375-m3,0.685,0.665,0.685,0.71,87,-2.0000000000000018,35.00000000000001
grid-3000375-m4,0.37,0.345,0.37,0.365,69,-2.500000000000002,-28.500000000000004
grid-3000375-m5,0.362,0.37387387387387394,0.362,0.3575,83,1.1873873873873952,-26.412612612612605
grid-2973272-m1,0.335,0.375,0.335,0.335,75,3.9999999999999982,-29.000000000000004
grid-2973272-m2,0.675,0.635,0.675,0.695,74,-4.0000000000000036,31.000000000000007
grid-2973272-m3,0.33999999999999997,0.375,0.33999999999999997,0.345,76,3.500000000000003,-28.500000000000004
grid-2973272-m4,0.545,0.435,0.545,0.545,82,-11.000000000000004,-1.9999999999999962
grid-2973273-m2,0.665,0.665,0.665,0.665,63,0.0,33.00000000000001
grid-2973273-m3,0.685,0.685,0.685,0.685,83,0.0,37.000000000000014
grid-2973273-m4,0.335,0.335,0.335,0.355,78,0.0,-33.0
grid-2973274-m1,0.335,0.315,0.335,0.325,79,-2.0000000000000018,-35.0
grid-2973274-m2,0.365,0.375,0.365,0.395,74,1.0000000000000009,-26.0
grid-2973274-m3,0.695,0.695,0.695,0.685,79,0.0,38.99999999999999
grid-2973274-m4,0.735,0.69,0.735,0.735,73,-4.5000000000000036,42.49999999999999
grid-2967262-m1,0.42,0.41,0.42,0.395,78,-1.0000000000000009,-17.00000000000001
grid-2967262-m2,0.33999999999999997,0.36,0.33999999999999997,0.325,81,2.0000000000000018,-30.000000000000004
grid-2967262-m3,0.405,0.405,0.405,0.445,83,0.0,-18.999999999999993
grid-2975625-m1,0.76,0.72,0.76,0.74,95,-4.0000000000000036,48.0
grid-2975625-m2,0.28500000000000003,0.285,0.28500000000000003,0.28500000000000003,81,-5.551115123125783e-15,-43.0
grid-2975625-m3,0.28500000000000003,0.285,0.28500000000000003,0.245,89,-5.551115123125783e-15,-43.0
grid-2975625-m4,0.30000000000000004,0.32,0.30000000000000004,0.335,75,1.9999999999999962,-37.99999999999999
grid-2975625-m5,0.29950000000000004,0.2995,0.29950000000000004,0.3405,76,-5.551115123125783e-15,-40.099999999999994
grid-2975627-m1,0.66,0.62,0.66,0.635,74,-4.0000000000000036,28.000000000000004
grid-2975627-m2,0.655,0.655,0.655,0.655,89,0.0,31.000000000000007
grid-2975627-m3,0.625,0.655,0.625,0.595,79,3.0000000000000027,28.000000000000004
grid-2975627-m4,0.575,0.565,0.575,0.585,77,-1.0000000000000009,13.99999999999999
grid-2975628-m1,0.405,0.435,0.405,0.445,79,2.9999999999999973,-15.999999999999998
grid-2975628-m2,0.375,0.375,0.375,0.385,79,0.0,-25.0
grid-2975628-m3,0.39,0.385,0.39,0.425,79,-0.5000000000000004,-22.499999999999996
grid-2975628-m4,0.425,0.455,0.425,0.455,73,3.0000000000000027,-11.999999999999995
grid-2975629-m1,0.63,0.64,0.63,0.655,82,1.0000000000000009,27.0
grid-2975629-m2,0.635,0.635,0.635,0.655,78,0.0,27.0
grid-2975629-m3,0.685,0.655,0.685,0.685,83,-3.0000000000000027,34.00000000000001
grid-2965523-m3,0.79,0.79,0.79,0.81,77,0.0,58.00000000000001
grid-2965524-m2,0.485,0.485,0.485,0.59,80,0.0,-3.0000000000000027
grid-2965524-m3,0.325,0.32,0.325,0.42,115,-0.5000000000000004,-35.50000000000001
grid-2965527-m2,0.835,0.835,0.835,0.795,82,0.0,67.0
grid-2965525-m1,0.36,0.66,0.36,0.41500000000000004,80,30.000000000000004,2.0000000000000018
grid-2965528-m1,0.4645,0.405,0.4645,0.4315,76,-5.949999999999999,-13.049999999999995
grid-2965528-m2,0.385,0.38,0.385,0.475,81,-0.5000000000000004,-23.5
grid-2965528-m3,0.54,0.54,0.54,0.505,44,0.0,8.000000000000007
grid-2965529-m1,0.575,0.595,0.575,0.545,81,2.0000000000000018,16.999999999999993
grid-2965529-m2,0.615,0.61,0.615,0.595,78,-0.5000000000000004,22.499999999999996
grid-2965529-m3,0.6,0.7208121827411167,0.6,0.665,77,12.081218274111672,32.08121827411167
grid-2965530-m2,0.13,0.155,0.13,0.165,77,2.4999999999999996,-71.5
grid-2965530-m3,0.10000000000000002,0.075,0.10000000000000002,0.125,74,-2.500000000000002,-82.5
grid-2972362-m2,0.355,0.355,0.355,0.345,100,0.0,-29.000000000000004
grid-2972362-m3,0.315,0.33,0.315,0.335,82,1.5000000000000013,-35.50000000000001
grid-2972363-m1,0.63,0.62,0.63,0.605,77,-1.0000000000000009,25.0
grid-2972363-m2,0.66,0.605,0.66,0.645,91,-5.500000000000005,26.5
grid-2972363-m3,0.5800000000000001,0.535,0.5800000000000001,0.5700000000000001,81,-4.5000000000000036,11.50000000000001
grid-2968611-m4,0.34,0.34,0.34,0.30000000000000004,79,0.0,-31.99999999999999
grid-2968612-m1,0.495,0.46,0.495,0.32499999999999996,92,-3.4999999999999973,-4.499999999999998
grid-2968612-m2,0.305,0.395,0.305,0.315,82,9.000000000000002,-30.000000000000004
grid-2968612-m3,0.725,0.625,0.725,0.56,79,-9.999999999999998,35.0
grid-2968613-m1,0.785,0.81,0.785,0.805,76,2.500000000000002,59.50000000000001
grid-2968613-m2,0.8400000000000001,0.855,0.835,0.815,80,1.4999999999999902,69.5
grid-2968613-m3,0.8400000000000001,0.885,0.8400000000000001,0.895,82,4.499999999999993,72.50000000000001
grid-2968614-m1,0.81,0.8020304568527918,0.81,0.765,78,-0.7969543147208213,61.20304568527919
grid-2968614-m2,0.095,0.09,0.095,0.095,75,-0.5000000000000004,-81.5
grid-2991216-m3,0.87,0.87,0.87,0.825,81,0.0,74.0
grid-2991210-m2,0.44000000000000006,0.44,0.44000000000000006,0.415,76,-5.551115123125783e-15,-11.999999999999995
grid-2991210-m3,0.46499999999999997,0.405,0.46499999999999997,0.435,77,-5.999999999999995,-13.0
grid-2991209-m2,0.755,0.755,0.755,0.755,82,0.0,51.0
grid-2991214-m1,0.245,0.255,0.245,0.245,77,1.0000000000000009,-50.0
grid-2991218-m2,0.475,0.475,0.475,0.505,76,0.0,-5.000000000000004
grid-2991212-m1,0.375,0.38,0.375,0.355,94,0.5000000000000004,-24.5
