dota
day        maps traded fills   net     n_net wins rebate
2026-09-08   13     9    89    45.75    9    5  13.61
2026-09-09    9     9   126   205.03    9    7  20.40
2026-09-10    5     3    37  -135.90    3    0   9.48
2026-09-11    3     3    17     1.46    3    1   1.00
2026-09-12   17    13    74    -0.50   11    7   3.22
2026-09-13   18     9    60    52.73    9    6   5.28
2026-09-14   14     7    38    24.68    7    7   1.54
2026-09-15    7     3    32     3.98    3    2   2.18
2026-09-16   15     8    75   109.12    8    7   5.78
2026-09-17    8     6    59   -24.80    6    4   5.20
2026-09-18    8     4    38   -44.34    4    3   3.83
2026-09-19   13     5    20    32.91    3    1   0.86
2026-09-20   25    11    59   -19.67   11    5   2.11
2026-09-21   25    20   166   114.88   19   14  13.04
2026-09-22   23    20   228   333.58   19   14  25.17
2026-09-23    4     4    51   -37.04    3    0   7.30
since 09-18 by source: {'grid': [47, 24, 89.38080000000002, 15], 'steam': [51, 40, 290.9279, 22]}
lol
day        maps traded fills   net     n_net wins rebate
2026-09-08   14    10    54     9.48    9    4   0.59
2026-09-09    7     5    49   -31.03    5    3   3.61
2026-09-10   17    14   139   -57.25   13    9   3.66
2026-09-11    9     9   104    14.96    9    7   3.21
2026-09-12   16    15   210   -39.52   15    8  12.06
2026-09-13   17    11    90   -17.94   11    5   7.23
2026-09-14    4     3    28     0.20    3    2   2.16
2026-09-15    6     2    46    -8.71    2    1   3.02
2026-09-16    4     4    36   -23.42    4    0   1.54
2026-09-17    3     1     2     0.13    1    1   0.01
2026-09-18    9     7    37     8.50    7    5   0.72
2026-09-19    7     4    11    -0.10    3    1   0.18
2026-09-20    6     3    17     4.41    3    3   0.20
2026-09-21   12     3    10    -3.86    3    1   0.40
2026-09-22   10     7    34    -6.68    7    2   1.76
since 09-18 by source: {'grid': [44, 24, 2.2666999999999957, 12]}
