league_norm,rows,maps,no_move_mae_c,model_mae_c,gain_c,directional_markout_c,direction_accuracy_nonflat,flat_label_pct
CBLOL,30376,57,11.155336449828813,10.729820506501305,0.42551594332750586,2.1102350539899923,0.6006366225498408,1.7480905978404002
EBL,6762,13,12.747138420585625,12.435375934513136,0.31176248607249035,4.710285418515232,0.6103525881470367,1.4344868382135463
EMEA Masters,39845,78,9.207430041410465,9.096100450216738,0.11132959119372722,0.7648400050194505,0.5556009916425997,1.8019826828962229
Esports World Cup,25866,48,10.072514111188434,9.80528088008848,0.26723323109995295,2.174191989484265,0.5720822888066531,2.8415680816515887
Hitpoint Masters,18822,37,10.409119647221338,10.25110343143531,0.15801621578602784,2.298637233025183,0.5627549924844321,1.0307087450855381
KeSPA Cup,25890,48,10.823366164542293,10.807823267696765,0.015542896845530531,0.7294920818848973,0.5334889425169126,2.3677095403630743
LCK,82749,153,10.923338046381227,10.673894899988587,0.24944314639263665,1.3882669276970117,0.5842227206625422,1.9420174261924616
LCS,34363,64,8.660239210779034,8.53241585228305,0.12782335849598594,1.0566423187730987,0.5643165896556864,2.3804673631522277
LEC,69565,129,9.82080212750665,9.638199331916073,0.18260279559057344,1.4637475742111696,0.5672023643234183,2.2338819808811903
LES,39694,77,8.881987202096035,8.535597346953708,0.34638985514232834,2.6586763742631128,0.6117526038318117,2.03809139920391
LPLOL,16463,32,10.332351333292838,9.813082329940748,0.5192690033520908,2.612944177853369,0.6105269745900613,2.9460001214845413
LRN,16574,32,8.413560395800653,8.138861567267812,0.2746988285328408,1.665798841559068,0.5803829813435133,2.009170990708338
Mid-Season Invitational,31866,59,9.605760057741795,9.496343309080576,0.10941674866121884,0.19570859222996298,0.5253101013699517,3.103621414673947
NACL,42935,81,10.015567718644464,9.757259439232419,0.25830827941204376,2.3892954466053338,0.5873102856734412,2.245254454407826
Road Of Legends,19133,37,12.214843464171848,12.006240922874413,0.20860254129743497,2.204008780640777,0.5813313578156418,1.2282443945016464
