league_norm,rows,maps,no_move_mae_c,model_mae_c,gain_c,directional_markout_c,direction_accuracy_nonflat,flat_label_pct
Arabian League,541,1,4.37615526802218,3.847957123238746,0.5281981447834357,3.634935304990758,0.7835249042145593,3.512014787430684
CBLOL,30376,57,11.155336449828813,10.729820506501305,0.42551594332750586,2.1102350539899923,0.6006366225498408,1.7480905978404002
Circuito Desafiante,30841,59,7.921847540611523,7.632084659933806,0.2897628806777167,1.7031905580234104,0.5948146417965231,2.8274050776563664
EBL,6762,13,12.747138420585625,12.435375934513136,0.31176248607249035,4.710285418515232,0.6103525881470367,1.4344868382135463
EMEA Masters,39845,78,9.207430041410465,9.096100450216738,0.11132959119372722,0.7648400050194505,0.5556009916425997,1.8019826828962229
Esports World Cup,25866,48,10.072514111188434,9.80528088008848,0.26723323109995295,2.174191989484265,0.5720822888066531,2.8415680816515887
HLL,1598,3,12.604818523153943,11.559097076538373,1.0457214466155687,6.515331664580727,0.7366751269035533,1.376720901126408
Hitpoint Masters,18822,37,10.409119647221338,10.25110343143531,0.15801621578602784,2.298637233025183,0.5627549924844321,1.0307087450855381
KeSPA Cup,25890,48,10.823366164542293,10.807823267696765,0.015542896845530531,0.7294920818848973,0.5334889425169126,2.3677095403630743
LCK,84372,156,10.978782060399185,10.739255509388796,0.23952655101038786,1.3570165457734793,0.5816037735849057,2.0054046366093017
LCK Challengers League,29490,58,10.327212614445575,10.076733027184316,0.2504795872612575,1.6658358765683283,0.5570828165908778,1.5666327568667346
LCP,44124,83,10.598125736560604,10.458932352546348,0.13919338401425277,2.022246396518901,0.5542883527646312,1.8334693137521532
LCS,34363,64,8.660239210779034,8.53241585228305,0.12782335849598594,1.0566423187730987,0.5643165896556864,2.3804673631522277
LEC,69565,129,9.82080212750665,9.638199331916073,0.18260279559057344,1.4637475742111696,0.5672023643234183,2.2338819808811903
LES,39694,77,8.881987202096035,8.535597346953708,0.34638985514232834,2.6586763742631128,0.6117526038318117,2.03809139920391
LFL,38346,72,8.945222448234496,8.882765061945554,0.06245738628894287,-0.018528660094925313,0.534960049500955,3.064204871433787
LIT,4665,9,7.074201500535906,6.3916773829214995,0.6825241176144065,2.291972132904609,0.5862894450489663,1.5005359056806002
LJL,4138,8,8.869647172547126,9.186703853224763,-0.31705668067763765,0.6557757370710485,0.4872611464968153,1.3533107781536975
LPL,117630,218,10.135819518830232,9.853643820669452,0.28217569816077837,1.6595133044291424,0.5794741689401707,2.155912607328063
LPLOL,16463,32,10.332351333292838,9.813082329940748,0.5192690033520908,2.612944177853369,0.6105269745900613,2.9460001214845413
LRN,16574,32,8.413560395800653,8.138861567267812,0.2746988285328408,1.665798841559068,0.5803829813435133,2.009170990708338
LRS,7316,14,10.445393657736467,10.05089807918006,0.3944955785564097,2.959472389283761,0.6223056598525936,1.7085839256424276
Mid-Season Invitational,31866,59,9.605760057741795,9.496343309080576,0.10941674866121884,0.19570859222996298,0.5253101013699517,3.103621414673947
NACL,42935,81,10.015567718644464,9.757259439232419,0.25830827941204376,2.3892954466053338,0.5873102856734412,2.245254454407826
NLC,17847,34,11.027609682299548,10.468260835633096,0.5593488466664501,3.5307138454642244,0.6103217005797431,1.41760519975346
Prime League 1st Division,53110,101,9.54778196196573,9.423172507223395,0.12460945474233709,1.2884183769534927,0.5401430228063394,2.579551873470156
Rift Legends,16464,32,10.629889455782312,10.784807239204884,-0.15491778342257218,0.4100765306122448,0.5206662553979026,1.5427599611273082
Road Of Legends,19133,37,12.214843464171848,12.006240922874413,0.20860254129743497,2.204008780640777,0.5813313578156418,1.2282443945016464
TCL,19164,38,8.956971404717178,8.745885856670004,0.2110855480471746,1.4382122730118978,0.5752928647497337,2.0037570444583594
World Star Challengers Invitational,4206,8,10.159771754636234,8.730065862096904,1.4297058925393311,5.221588207322872,0.7579755337011274,0.879695672848312
