trees,validation_mae_c
1,8.049304003999556
2,8.04650339931915
3,8.043797113398721
4,8.041156258718404
5,8.038508834823393
6,8.035938565887331
7,8.033439693588114
8,8.030759137555709
9,8.02840612339191
10,8.026119236005549
11,8.023674912040264
12,8.02126217931759
13,8.018803424134848
14,8.016397640913503
15,8.01418202437131
16,8.012001376229339
17,8.00985237183156
18,8.007767907588056
19,8.005735728015392
20,8.003651213705028
21,8.001678917323703
22,7.999657234217188
23,7.997445116004583
24,7.995488165933286
25,7.993359719441291
26,7.991390534489976
27,7.9892115752787065
28,7.987356723582868
29,7.985683544585023
30,7.983938737300959
31,7.982086667588007
32,7.980482666065873
33,7.979196167055519
34,7.977668733873772
35,7.976421550837275
36,7.974593779847897
37,7.973232921201275
38,7.9713797678632545
39,7.970222495705795
40,7.968912621953159
41,7.9673224054685505
42,7.965988768436782
43,7.964330964002266
44,7.962826124500733
45,7.961729905805898
46,7.960545561293103
47,7.959039717387524
48,7.9578501377242645
49,7.956440478581561
50,7.955008580662573
51,7.953683017686569
52,7.952318706415943
53,7.951046414720894
54,7.949942148072772
55,7.948862394042347
56,7.947824548253984
57,7.9467280912054115
58,7.945592611928164
59,7.9446112605463455
60,7.943459217608123
61,7.942247115243359
62,7.941414583569129
63,7.94030781889252
64,7.939407687812672
65,7.938377196562447
66,7.937044561601874
67,7.936022005220951
68,7.934759641923242
69,7.9337456324932205
70,7.932772699826017
71,7.931784983254543
72,7.930618557649664
73,7.929677296999787
74,7.928749702553947
75,7.927916312637729
76,7.927094843955887
77,7.925989594684656
78,7.925095342309174
79,7.924282059387471
80,7.923496231371899
81,7.922426143794074
82,7.921688292580393
83,7.920886762668449
84,7.920040366794942
85,7.91919598097775
86,7.918408626300495
87,7.917700812604651
88,7.917149112899659
89,7.916364603498306
90,7.915889110165949
91,7.915057535406141
92,7.914601948224681
93,7.913927989563869
94,7.913496450770273
95,7.913076950066597
96,7.9123215332719
97,7.912016689522897
98,7.911432410851665
99,7.911140051558656
100,7.910496332826374
101,7.910240545858644
102,7.909884587137195
103,7.9093474818177185
104,7.909108998731551
105,7.908440817352391
106,7.908157006967301
107,7.907970265056842
108,7.907698959544786
109,7.907229720184217
110,7.906946460003886
111,7.90630900089386
112,7.905706986784093
113,7.905356430855524
114,7.905055765448546
115,7.904601259209292
116,7.904041662792966
117,7.9038419084294045
118,7.903626333388308
119,7.903243427282297
120,7.903041154479667
121,7.9025711179283515
122,7.902294435535236
123,7.901799394527111
124,7.901537753423482
125,7.901253871990903
126,7.901008064400469
127,7.9005207500003785
128,7.900288942808084
129,7.899994770865379
130,7.8998250291346075
131,7.899585059006394
132,7.899309494521887
133,7.899153768352664
134,7.898918508713415
135,7.898654832346498
136,7.8985216398021905
137,7.898287101047869
138,7.898163838545648
139,7.897924244147987
140,7.897806720131614
141,7.897391109610008
142,7.897287014864286
143,7.897184790492462
144,7.896989973320853
145,7.896902404463714
146,7.896693544336045
147,7.896497424885417
148,7.896350271305007
149,7.896175554263171
150,7.896039436933274
151,7.895878364756739
152,7.8957701793146695
153,7.895694205111658
154,7.895503363318608
155,7.895386669924206
156,7.8951119702831845
157,7.89493924364176
158,7.894686116122193
159,7.894438757535963
160,7.8942770763596695
161,7.894232272957737
162,7.893887519704032
163,7.8937259640338695
164,7.893398450483341
165,7.8932018073264025
166,7.892914223810877
167,7.892799807419594
168,7.892698808790924
169,7.892441061008249
170,7.89218150966387
171,7.8921647914486455
172,7.892038683954909
173,7.89180986847685
174,7.891804577659102
175,7.891435180901311
176,7.891364209977242
177,7.891390520714083
178,7.891348990343484
179,7.891022593731867
180,7.890842993374365
181,7.890884918331363
182,7.890851402970625
183,7.890820565302152
184,7.890707161950017
185,7.890770362612395
186,7.89080651837555
187,7.890724236998641
188,7.890711894552331
189,7.890690315496422
190,7.890612773419145
191,7.890689185337793
192,7.890597022778688
193,7.890493613777999
194,7.890435949448177
195,7.890342341787396
196,7.8903326142438335
197,7.8902820416366755
198,7.89024452217288
199,7.890163214547556
200,7.890098540537865
201,7.890030687420911
202,7.889970092371107
203,7.889954172563322
204,7.889913365847348
205,7.889898589656534
206,7.889891304799559
207,7.889824244210775
208,7.889817755534412
209,7.889817761772659
210,7.889553057062472
211,7.889568208577267
212,7.889585778046977
213,7.889605864698266
214,7.889468874436568
215,7.889335888078261
216,7.889075536050566
217,7.8891773691554
218,7.888870016796118
219,7.889043668896374
220,7.888747257115184
221,7.888427086742497
222,7.888537818614259
223,7.888534390603594
224,7.888256514496636
225,7.888089850179222
226,7.888027903979054
227,7.887746315825636
228,7.887755564939379
229,7.887875004540697
230,7.887828400037941
231,7.887773920004988
232,7.887505248850644
233,7.887622978324041
234,7.8875669550685
235,7.887537548376479
236,7.887487650432298
237,7.887724687706897
238,7.887845355050191
239,7.887739168668556
240,7.8878628305708505
241,7.887778727454344
242,7.887681940894254
243,7.88780728104586
244,7.88786097077721
245,7.887972727765491
246,7.888099819791816
247,7.888011288285603
248,7.888144078836626
249,7.888091821769259
250,7.888019890046251
251,7.888154533048457
252,7.888239299666326
253,7.888318146988785
254,7.888373195090848
255,7.88850900333048
256,7.888296936616837
257,7.88843541985038
258,7.888464265270866
259,7.888604211332223
260,7.888639318937107
261,7.888780361682993
262,7.888761601885676
263,7.888532560216785
264,7.888494104883967
265,7.888525292053885
266,7.888597132625143
