match,game,joined,teams,status,fills,episodes,excluded_open_episodes,buy_usdc,gross_cash_error,model
grid-2965527-m1,lol,2026-09-08T16:09:00.656444Z,mCon esports vs Frites Esports Club,included,6,1,0,15.0027,4.440892098500626e-16,20260904T193238Z
grid-2965527-m2,lol,2026-09-08T17:02:53.971749Z,Frites Esports Club vs mCon esports,included,4,1,0,4.9987,3.3306690738754696e-16,20260904T193238Z
grid-2965527-m3,lol,2026-09-08T17:55:24.726441Z,Frites Esports Club vs mCon esports,included,6,1,0,14.9963,6.661338147750939e-16,20260904T193238Z
grid-2965528-m2,lol,2026-09-10T16:57:59.883497Z,Senshi Esports Club vs The Bandits,included,13,3,0,155.6257,0.0,20260904T193238Z
grid-2965528-m3,lol,2026-09-10T17:47:13.190273Z,Senshi Esports Club vs The Bandits,included,13,2,0,121.64914499999999,0.0,20260904T193238Z
grid-2967262-m1,lol,2026-09-07T23:09:07.687049Z,Zeu5 Esports vs Fuego,included,8,2,0,58.5638,-5.329070518200751e-15,20260904T193238Z
grid-2967262-m2,lol,2026-09-07T23:56:41.603168Z,Zeu5 Esports vs Fuego,included,6,2,0,39.9975,0.0,20260904T193238Z
grid-2967262-m3,lol,2026-09-08T01:07:01.072795Z,Zeu5 Esports vs Fuego,included,3,1,0,19.9998,0.0,20260904T193238Z
grid-2968612-m1,lol,2026-09-07T18:17:13.818194Z,Otter Side vs Bubliki,included,10,2,0,63.150783,-3.552713678800501e-15,20260904T193238Z
grid-2968612-m2,lol,2026-09-07T19:09:55.077331Z,Bubliki vs Otter Side,included,5,1,0,70.0001,3.552713678800501e-15,20260904T193238Z
grid-2968612-m3,lol,2026-09-07T20:01:02.224495Z,Otter Side vs Bubliki,included,15,1,0,46.788177,0.0,20260904T193238Z
grid-2968612-m4,lol,2026-09-07T20:49:01.907677Z,Otter Side vs Bubliki,included,3,1,0,19.9938,-1.7763568394002505e-15,20260904T193238Z
grid-2968613-m1,lol,2026-09-08T18:21:52.170938Z,White Dragons vs Dominion Goblins,included,2,1,0,5.0,0.0,20260904T193238Z
grid-2968613-m2,lol,2026-09-08T19:10:33.035675Z,White Dragons vs Dominion Goblins,included,5,1,0,14.9926,0.0,20260904T193238Z
grid-2968613-m3,lol,2026-09-08T19:56:54.656612Z,White Dragons vs Dominion Goblins,included,5,1,0,15.0027,0.0,20260904T193238Z
grid-2971825-m1,lol,2026-09-07T16:03:42.686429Z,Ruddy Corporation vs Arctic Pandas,included,5,1,0,9.998099999999999,4.440892098500626e-16,20260904T193238Z
grid-2971825-m2,lol,2026-09-07T16:58:58.266806Z,Arctic Pandas vs Ruddy Corporation,included,6,2,0,40.0022,-1.7763568394002505e-15,20260904T193238Z
grid-2975627-m1,lol,2026-09-09T21:08:31.101709Z,NRG Esports vs Maryville University,included,6,1,0,15.002399999999998,-8.881784197001252e-16,20260904T193238Z
grid-2975627-m2,lol,2026-09-09T22:07:33.331431Z,NRG Esports vs Maryville University,trace_resets:1,4,0,0,0.0,0.0,20260904T193238Z
grid-2975627-m3,lol,2026-09-09T22:58:36.071189Z,NRG Esports vs Maryville University,included,21,2,0,312.194133,-8.881784197001252e-16,20260904T193238Z
grid-2975627-m4,lol,2026-09-09T23:50:09.667344Z,NRG Esports vs Maryville University,included,12,1,0,150.0005,-1.4210854715202004e-14,20260904T193238Z
grid-2975628-m1,lol,2026-09-10T21:08:07.896678Z,Winthrop University vs Maryville University,included,5,1,0,30.0012,0.0,20260904T193238Z
grid-2975628-m2,lol,2026-09-10T22:00:39.966552Z,Winthrop University vs Maryville University,included,2,1,0,4.692308,0.0,20260904T193238Z
grid-2975628-m3,lol,2026-09-10T22:48:42.468055Z,Winthrop University vs Maryville University,included,30,5,0,107.385742,1.7763568394002505e-15,20260904T193238Z
