game,rule,latency_s,mode,day,delta
dota,stop_3c,2,all_at_bid,2026-09-07,-22.883476960424
dota,stop_3c,2,all_at_bid,2026-09-08,-14.986785414131969
dota,stop_3c,2,all_at_bid,2026-09-09,-18.81036631343571
dota,stop_3c,2,all_at_bid,2026-09-10,-7.146192183125514
dota,stop_3c,2,all_at_bid,2026-09-11,-23.850983746043514
dota,stop_3c,2,all_at_bid,2026-09-12,5.001469722530003
dota,stop_3c,2,top_only,2026-09-07,-5.227656444500301
dota,stop_3c,2,top_only,2026-09-08,-28.92156877890165
dota,stop_3c,2,top_only,2026-09-09,-8.812080393282073
dota,stop_3c,2,top_only,2026-09-10,-9.421686973903508
dota,stop_3c,2,top_only,2026-09-11,-19.424531097500008
dota,stop_3c,2,top_only,2026-09-12,-3.3590613079503884
dota,stop_5c,2,all_at_bid,2026-09-07,0.0
dota,stop_5c,2,all_at_bid,2026-09-08,-3.590376071172016
dota,stop_5c,2,all_at_bid,2026-09-09,-126.29095285946251
dota,stop_5c,2,all_at_bid,2026-09-10,-6.628848178142995
dota,stop_5c,2,all_at_bid,2026-09-11,-18.482346097500006
dota,stop_5c,2,all_at_bid,2026-09-12,4.694306087530002
dota,stop_5c,2,top_only,2026-09-07,0.0
dota,stop_5c,2,top_only,2026-09-08,-6.612638153130275
dota,stop_5c,2,top_only,2026-09-09,-7.336060155910005
dota,stop_5c,2,top_only,2026-09-10,-11.642461713903494
dota,stop_5c,2,top_only,2026-09-11,-18.482346097500006
dota,stop_5c,2,top_only,2026-09-12,-3.6700071554503895
dota,stop_8c,2,all_at_bid,2026-09-07,0.0
dota,stop_8c,2,all_at_bid,2026-09-08,10.97961989738628
dota,stop_8c,2,all_at_bid,2026-09-09,0.0
dota,stop_8c,2,all_at_bid,2026-09-10,-26.547147613607542
dota,stop_8c,2,all_at_bid,2026-09-11,-26.4296690145
dota,stop_8c,2,all_at_bid,2026-09-12,9.503731004120006
dota,stop_8c,2,top_only,2026-09-07,0.0
dota,stop_8c,2,top_only,2026-09-08,-2.3826639660023314
dota,stop_8c,2,top_only,2026-09-09,0.0
dota,stop_8c,2,top_only,2026-09-10,2.0569065699999953
dota,stop_8c,2,top_only,2026-09-11,-26.4296690145
dota,stop_8c,2,top_only,2026-09-12,8.235868060044321
dota,loss_10pct,2,all_at_bid,2026-09-07,0.0
dota,loss_10pct,2,all_at_bid,2026-09-08,9.520390105428035
dota,loss_10pct,2,all_at_bid,2026-09-09,-126.29095285946251
dota,loss_10pct,2,all_at_bid,2026-09-10,31.96084463326701
dota,loss_10pct,2,all_at_bid,2026-09-11,-18.482346097500006
dota,loss_10pct,2,all_at_bid,2026-09-12,7.79674523753
dota,loss_10pct,2,top_only,2026-09-07,0.0
dota,loss_10pct,2,top_only,2026-09-08,-5.489174106284564
dota,loss_10pct,2,top_only,2026-09-09,-7.336060155910005
dota,loss_10pct,2,top_only,2026-09-10,-4.354346631403505
dota,loss_10pct,2,top_only,2026-09-11,-18.482346097500006
dota,loss_10pct,2,top_only,2026-09-12,-0.07929828295039232
dota,losing_300s,2,all_at_bid,2026-09-07,0.0
dota,losing_300s,2,all_at_bid,2026-09-08,-1.2712317387422503
dota,losing_300s,2,all_at_bid,2026-09-09,0.0
dota,losing_300s,2,all_at_bid,2026-09-10,-6.572588099999997
dota,losing_300s,2,all_at_bid,2026-09-11,0.0
dota,losing_300s,2,all_at_bid,2026-09-12,7.6734102717800035
dota,losing_300s,2,top_only,2026-09-07,0.0
dota,losing_300s,2,top_only,2026-09-08,-1.1441922107395004
dota,losing_300s,2,top_only,2026-09-09,0.0
dota,losing_300s,2,top_only,2026-09-10,-0.8431799999999967
dota,losing_300s,2,top_only,2026-09-11,0.0
dota,losing_300s,2,top_only,2026-09-12,5.677000150461286
dota,loss_15pct,2,all_at_bid,2026-09-07,0.0
dota,loss_15pct,2,all_at_bid,2026-09-08,-0.3183855518510228
dota,loss_15pct,2,all_at_bid,2026-09-09,0.0
dota,loss_15pct,2,all_at_bid,2026-09-10,-6.628848178142995
dota,loss_15pct,2,all_at_bid,2026-09-11,-26.4296690145
dota,loss_15pct,2,all_at_bid,2026-09-12,9.35499065753
dota,loss_15pct,2,top_only,2026-09-07,0.0
dota,loss_15pct,2,top_only,2026-09-08,-2.2658667868663684
dota,loss_15pct,2,top_only,2026-09-09,0.0
dota,loss_15pct,2,top_only,2026-09-10,-11.719843713903494
dota,loss_15pct,2,top_only,2026-09-11,-26.4296690145
dota,loss_15pct,2,top_only,2026-09-12,0.9944596270496071
dota,loss_20pct,2,all_at_bid,2026-09-07,0.0
dota,loss_20pct,2,all_at_bid,2026-09-08,11.756863892925024
dota,loss_20pct,2,all_at_bid,2026-09-09,0.0
dota,loss_20pct,2,all_at_bid,2026-09-10,-34.59314986360754
dota,loss_20pct,2,all_at_bid,2026-09-11,-26.4296690145
dota,loss_20pct,2,all_at_bid,2026-09-12,10.687917014120004
dota,loss_20pct,2,top_only,2026-09-07,0.0
dota,loss_20pct,2,top_only,2026-09-08,-1.605419970463588
dota,loss_20pct,2,top_only,2026-09-09,0.0
dota,loss_20pct,2,top_only,2026-09-10,-5.9890956800000055
dota,loss_20pct,2,top_only,2026-09-11,-26.4296690145
dota,loss_20pct,2,top_only,2026-09-12,9.38054264004432
dota,losing_480s,2,all_at_bid,2026-09-07,0.0
dota,losing_480s,2,all_at_bid,2026-09-08,0.0
dota,losing_480s,2,all_at_bid,2026-09-09,0.0
dota,losing_480s,2,all_at_bid,2026-09-10,0.0
dota,losing_480s,2,all_at_bid,2026-09-11,0.0
dota,losing_480s,2,all_at_bid,2026-09-12,-5.568205127019997
dota,losing_480s,2,top_only,2026-09-07,0.0
dota,losing_480s,2,top_only,2026-09-08,0.0
dota,losing_480s,2,top_only,2026-09-09,0.0
dota,losing_480s,2,top_only,2026-09-10,0.0
dota,losing_480s,2,top_only,2026-09-11,0.0
dota,losing_480s,2,top_only,2026-09-12,-3.1445368857998837
dota,reverse_2signals,2,all_at_bid,2026-09-07,0.0
dota,reverse_2signals,2,all_at_bid,2026-09-08,26.204249412609972
dota,reverse_2signals,2,all_at_bid,2026-09-09,0.0
dota,reverse_2signals,2,all_at_bid,2026-09-10,-15.589061592307502
dota,reverse_2signals,2,all_at_bid,2026-09-11,-7.0066099730000015
dota,reverse_2signals,2,all_at_bid,2026-09-12,7.556731961780003
dota,reverse_2signals,2,top_only,2026-09-07,0.0
dota,reverse_2signals,2,top_only,2026-09-08,-2.9696639625827608
dota,reverse_2signals,2,top_only,2026-09-09,0.0
dota,reverse_2signals,2,top_only,2026-09-10,-3.8047672073650034
dota,reverse_2signals,2,top_only,2026-09-11,-5.668014000000001
dota,reverse_2signals,2,top_only,2026-09-12,7.556731961780003
dota,stop_3c,5,all_at_bid,2026-09-07,-22.883476960424
dota,stop_3c,5,all_at_bid,2026-09-08,-13.983710420056964
dota,stop_3c,5,all_at_bid,2026-09-09,-18.81036631343571
dota,stop_3c,5,all_at_bid,2026-09-10,16.62667174233902
dota,stop_3c,5,all_at_bid,2026-09-11,-12.615759746043516
dota,stop_3c,5,all_at_bid,2026-09-12,8.416484169050001
dota,stop_3c,5,top_only,2026-09-07,-6.538536377050473
dota,stop_3c,5,top_only,2026-09-08,-30.62090121489622
dota,stop_3c,5,top_only,2026-09-09,-8.812080393282073
dota,stop_3c,5,top_only,2026-09-10,-10.55338977390349
dota,stop_3c,5,top_only,2026-09-11,-12.615759746043516
dota,stop_3c,5,top_only,2026-09-12,8.33404995405
dota,stop_5c,5,all_at_bid,2026-09-07,0.0
dota,stop_5c,5,all_at_bid,2026-09-08,-2.5882869001870175
dota,stop_5c,5,all_at_bid,2026-09-09,-109.66954150946252
dota,stop_5c,5,all_at_bid,2026-09-10,-11.919615005793005
dota,stop_5c,5,all_at_bid,2026-09-11,-7.2471220975000055
dota,stop_5c,5,all_at_bid,2026-09-12,7.550180234050002
dota,stop_5c,5,top_only,2026-09-07,0.0
dota,stop_5c,5,top_only,2026-09-08,-4.7713933598364076
dota,stop_5c,5,top_only,2026-09-09,-3.8257481559100057
dota,stop_5c,5,top_only,2026-09-10,-11.81969371390349
dota,stop_5c,5,top_only,2026-09-11,-7.2471220975000055
dota,stop_5c,5,top_only,2026-09-12,7.934491844050001
dota,stop_8c,5,all_at_bid,2026-09-07,0.0
dota,stop_8c,5,all_at_bid,2026-09-08,5.446638126226256
dota,stop_8c,5,all_at_bid,2026-09-09,0.0
dota,stop_8c,5,all_at_bid,2026-09-10,-28.17609044125754
dota,stop_8c,5,all_at_bid,2026-09-11,-14.89530257050001
dota,stop_8c,5,all_at_bid,2026-09-12,12.579483417319995
dota,stop_8c,5,top_only,2026-09-07,0.0
dota,stop_8c,5,top_only,2026-09-08,-9.38397744569149
dota,stop_8c,5,top_only,2026-09-09,0.0
dota,stop_8c,5,top_only,2026-09-10,-3.016431580000006
dota,stop_8c,5,top_only,2026-09-11,-14.89530257050001
dota,stop_8c,5,top_only,2026-09-12,5.543122549767543
dota,loss_10pct,5,all_at_bid,2026-09-07,0.0
dota,loss_10pct,5,all_at_bid,2026-09-08,10.522479276413033
dota,loss_10pct,5,all_at_bid,2026-09-09,-109.66954150946252
dota,loss_10pct,5,all_at_bid,2026-09-10,22.245979794207024
dota,loss_10pct,5,all_at_bid,2026-09-11,-7.2471220975000055
dota,loss_10pct,5,all_at_bid,2026-09-12,10.875657534050003
dota,loss_10pct,5,top_only,2026-09-07,0.0
dota,loss_10pct,5,top_only,2026-09-08,-4.827106279393474
dota,loss_10pct,5,top_only,2026-09-09,-3.8257481559100057
dota,loss_10pct,5,top_only,2026-09-10,-6.712359431403485
dota,loss_10pct,5,top_only,2026-09-11,-7.2471220975000055
dota,loss_10pct,5,top_only,2026-09-12,11.259969144050002
dota,losing_300s,5,all_at_bid,2026-09-07,0.0
dota,losing_300s,5,all_at_bid,2026-09-08,-0.25380614851724603
dota,losing_300s,5,all_at_bid,2026-09-09,0.0
dota,losing_300s,5,all_at_bid,2026-09-10,-6.572588099999997
dota,losing_300s,5,all_at_bid,2026-09-11,0.0
dota,losing_300s,5,all_at_bid,2026-09-12,5.014299725299994
dota,losing_300s,5,top_only,2026-09-07,0.0
dota,losing_300s,5,top_only,2026-09-08,-0.25380614851724603
dota,losing_300s,5,top_only,2026-09-09,0.0
dota,losing_300s,5,top_only,2026-09-10,-0.8431799999999967
dota,losing_300s,5,top_only,2026-09-11,0.0
dota,losing_300s,5,top_only,2026-09-12,0.9929400403236244
dota,loss_15pct,5,all_at_bid,2026-09-07,0.0
dota,loss_15pct,5,all_at_bid,2026-09-08,-0.41715290185102294
dota,loss_15pct,5,all_at_bid,2026-09-09,0.0
dota,loss_15pct,5,all_at_bid,2026-09-10,-11.919615005793005
dota,loss_15pct,5,all_at_bid,2026-09-11,-14.89530257050001
dota,loss_15pct,5,all_at_bid,2026-09-12,12.022191804050001
dota,loss_15pct,5,top_only,2026-09-07,0.0
dota,loss_15pct,5,top_only,2026-09-08,-1.1854571704635903
dota,loss_15pct,5,top_only,2026-09-09,0.0
dota,loss_15pct,5,top_only,2026-09-10,-11.81969371390349
dota,loss_15pct,5,top_only,2026-09-11,-14.89530257050001
dota,loss_15pct,5,top_only,2026-09-12,12.022191804050001
dota,loss_20pct,5,all_at_bid,2026-09-07,0.0
dota,loss_20pct,5,all_at_bid,2026-09-08,12.026168642925025
dota,loss_20pct,5,all_at_bid,2026-09-09,0.0
dota,loss_20pct,5,all_at_bid,2026-09-10,-31.389637041257544
dota,loss_20pct,5,all_at_bid,2026-09-11,-14.89530257050001
dota,loss_20pct,5,all_at_bid,2026-09-12,13.357815027319994
dota,loss_20pct,5,top_only,2026-09-07,0.0
dota,loss_20pct,5,top_only,2026-09-08,-1.3361152204635864
dota,loss_20pct,5,top_only,2026-09-09,0.0
dota,loss_20pct,5,top_only,2026-09-10,-6.2299781800000105
dota,loss_20pct,5,top_only,2026-09-11,-14.89530257050001
dota,loss_20pct,5,top_only,2026-09-12,5.937142549767542
dota,losing_480s,5,all_at_bid,2026-09-07,0.0
dota,losing_480s,5,all_at_bid,2026-09-08,0.0
dota,losing_480s,5,all_at_bid,2026-09-09,0.0
dota,losing_480s,5,all_at_bid,2026-09-10,0.0
dota,losing_480s,5,all_at_bid,2026-09-11,0.0
dota,losing_480s,5,all_at_bid,2026-09-12,-2.93066951398
dota,losing_480s,5,top_only,2026-09-07,0.0
dota,losing_480s,5,top_only,2026-09-08,0.0
dota,losing_480s,5,top_only,2026-09-09,0.0
dota,losing_480s,5,top_only,2026-09-10,0.0
dota,losing_480s,5,top_only,2026-09-11,0.0
dota,losing_480s,5,top_only,2026-09-12,-0.4454918693510379
dota,reverse_2signals,5,all_at_bid,2026-09-07,0.0
dota,reverse_2signals,5,all_at_bid,2026-09-08,26.204249412609972
dota,reverse_2signals,5,all_at_bid,2026-09-09,0.0
dota,reverse_2signals,5,all_at_bid,2026-09-10,-14.590685802499998
dota,reverse_2signals,5,all_at_bid,2026-09-11,-7.0066099730000015
dota,reverse_2signals,5,all_at_bid,2026-09-12,11.555511031550001
dota,reverse_2signals,5,top_only,2026-09-07,0.0
dota,reverse_2signals,5,top_only,2026-09-08,-2.9696639625827608
dota,reverse_2signals,5,top_only,2026-09-09,0.0
dota,reverse_2signals,5,top_only,2026-09-10,-1.7675300000000007
dota,reverse_2signals,5,top_only,2026-09-11,-5.668014000000001
dota,reverse_2signals,5,top_only,2026-09-12,11.555511031550001
lol,stop_3c,2,all_at_bid,2026-09-07,25.812506108631155
lol,stop_3c,2,all_at_bid,2026-09-08,-10.211159347449003
lol,stop_3c,2,all_at_bid,2026-09-09,7.075891820614512
lol,stop_3c,2,all_at_bid,2026-09-10,27.567401658922037
lol,stop_3c,2,all_at_bid,2026-09-11,-14.43521931055251
lol,stop_3c,2,all_at_bid,2026-09-12,-1.9058138241279976
lol,stop_3c,2,top_only,2026-09-07,3.6612665974259473
lol,stop_3c,2,top_only,2026-09-08,-10.077323659824337
lol,stop_3c,2,top_only,2026-09-09,12.977377652593262
lol,stop_3c,2,top_only,2026-09-10,-5.426351143424139
lol,stop_3c,2,top_only,2026-09-11,-11.335005956401005
lol,stop_3c,2,top_only,2026-09-12,-1.656882194127998
lol,stop_5c,2,all_at_bid,2026-09-07,15.436124627473998
lol,stop_5c,2,all_at_bid,2026-09-08,-15.217352726738996
lol,stop_5c,2,all_at_bid,2026-09-09,-57.041871924104
lol,stop_5c,2,all_at_bid,2026-09-10,31.367004633000544
lol,stop_5c,2,all_at_bid,2026-09-11,-14.138167330552506
lol,stop_5c,2,all_at_bid,2026-09-12,-1.6212339936979983
lol,stop_5c,2,top_only,2026-09-07,0.6712420383981728
lol,stop_5c,2,top_only,2026-09-08,-4.863463630704998
lol,stop_5c,2,top_only,2026-09-09,-13.160667017499994
lol,stop_5c,2,top_only,2026-09-10,-1.9952645260498172
lol,stop_5c,2,top_only,2026-09-11,-10.437357086419
lol,stop_5c,2,top_only,2026-09-12,-1.3723023636979987
lol,stop_8c,2,all_at_bid,2026-09-07,15.713094639814008
lol,stop_8c,2,all_at_bid,2026-09-08,-0.51702024
lol,stop_8c,2,all_at_bid,2026-09-09,-64.383151955444
lol,stop_8c,2,all_at_bid,2026-09-10,28.862714150134998
lol,stop_8c,2,all_at_bid,2026-09-11,-6.7220588848745
lol,stop_8c,2,all_at_bid,2026-09-12,-1.2044368721099974
lol,stop_8c,2,top_only,2026-09-07,4.164512580406585
lol,stop_8c,2,top_only,2026-09-08,-0.51702024
lol,stop_8c,2,top_only,2026-09-09,-42.89909115634625
lol,stop_8c,2,top_only,2026-09-10,23.240186170147894
lol,stop_8c,2,top_only,2026-09-11,-6.1941139345864995
lol,stop_8c,2,top_only,2026-09-12,-0.9555052421099979
lol,loss_10pct,2,all_at_bid,2026-09-07,24.856910425049
lol,loss_10pct,2,all_at_bid,2026-09-08,-8.745118045594001
lol,loss_10pct,2,all_at_bid,2026-09-09,-11.670335612393998
lol,loss_10pct,2,all_at_bid,2026-09-10,33.23216631027279
lol,loss_10pct,2,all_at_bid,2026-09-11,-16.957996370534502
lol,loss_10pct,2,all_at_bid,2026-09-12,-0.6931424715829971
lol,loss_10pct,2,top_only,2026-09-07,0.31552060247253216
lol,loss_10pct,2,top_only,2026-09-08,-8.693304720594002
lol,loss_10pct,2,top_only,2026-09-09,10.72680849511226
lol,loss_10pct,2,top_only,2026-09-10,-1.0385570262463366
lol,loss_10pct,2,top_only,2026-09-11,-13.568759306400999
lol,loss_10pct,2,top_only,2026-09-12,-0.6487470644179975
lol,losing_300s,2,all_at_bid,2026-09-07,0.0
lol,losing_300s,2,all_at_bid,2026-09-08,-12.514428329853999
lol,losing_300s,2,all_at_bid,2026-09-09,-13.327277628021243
lol,losing_300s,2,all_at_bid,2026-09-10,21.340368596525003
lol,losing_300s,2,all_at_bid,2026-09-11,0.0
