game,rule,latency_s,eligible_episodes,triggered,baseline_closed_net_estimate,delta_all_at_bid,delta_top_only,full_top_depth,top_qty_fraction,improved_full,worsened_full
dota,stop_3c,2,42,21,100.33533371298356,-82.67633489463071,-75.16658499603793,14,0.4013181733173991,4,17
dota,stop_3c,5,42,23,100.33533371298356,-43.25015752857118,-60.806617551125775,12,0.3565194943495266,5,18
dota,stop_5c,2,42,16,100.33533371298356,-150.29821711874752,-47.74351327589416,7,0.23948315194877134,5,11
dota,stop_5c,5,42,16,100.33533371298356,-123.87438527889255,-19.729465483099897,7,0.2476629206187648,4,12
dota,stop_8c,2,42,10,100.33533371298356,-32.49346572660126,-18.519558350458016,5,0.24226308623419518,4,6
dota,stop_8c,5,42,10,100.33533371298356,-25.0452714682113,-21.75258904642396,5,0.3020630726239844,3,7
dota,loss_10pct,2,42,14,100.33533371298356,-95.49531898073747,-35.74122527404847,5,0.22806284671357308,5,9
dota,loss_10pct,5,42,14,100.33533371298356,-73.27254700229247,-11.352366820156966,5,0.284392866720542,5,9
dota,loss_15pct,2,42,9,100.33533371298356,-24.021912086964015,-39.42091988822025,3,0.2275741952943054,4,5
dota,loss_15pct,5,42,10,100.33533371298356,-15.209878674094034,-15.878261650817086,5,0.2554431546149845,4,6
dota,loss_20pct,2,42,9,100.33533371298356,-38.57803797106252,-24.643642024919277,5,0.21581164612339845,3,6
dota,loss_20pct,5,42,9,100.33533371298356,-20.900955941512546,-16.524253421196065,5,0.19657503916691482,3,6
dota,losing_300s,2,42,3,100.33533371298356,-0.17040956696224874,3.6896279397217864,0,0.6394147646387305,1,2
dota,losing_300s,5,42,3,100.33533371298356,-1.8120945232172532,-0.10404610819362303,1,0.4373363188120226,1,2
dota,losing_480s,2,42,1,100.33533371298356,-5.568205127019997,-3.1445368857998846,0,0.5628754329079405,0,1
dota,losing_480s,5,42,1,100.33533371298356,-2.9306695139800016,-0.44549186935103685,0,0.1510641972112615,0,1
dota,reverse_2signals,2,42,6,100.33533371298356,11.16530980908247,-4.885713208167754,3,0.4528706630300466,3,3
dota,reverse_2signals,5,42,6,100.33533371298356,16.162464668659972,1.1503030689672455,3,0.42721910170127286,3,3
lol,stop_3c,2,93,50,-128.061366937352,33.903607106038194,-11.856918703758273,23,0.532891845886276,16,34
lol,stop_3c,5,93,50,-128.061366937352,38.70665742858211,-9.814996497561598,24,0.4048248672637441,14,36
lol,stop_5c,2,93,33,-128.061366937352,-41.21549671461896,-31.15781258597364,10,0.31049736731675903,7,26
lol,stop_5c,5,93,32,-128.061366937352,2.369751031281128,-24.83701350051999,13,0.47302273093151564,9,23
lol,stop_8c,2,93,21,-128.061366937352,-28.250859162479482,-23.161031822488273,9,0.5085095217062378,5,16
lol,stop_8c,5,93,18,-128.061366937352,9.340952959955267,-24.01907332136677,7,0.4367964618786975,5,13
lol,loss_10pct,2,93,38,-128.061366937352,20.02248423521629,-12.907039020074544,16,0.46046366624124013,11,27
lol,loss_10pct,5,93,34,-128.061366937352,23.7590658216843,-26.104613232525026,14,0.4294223890947848,10,24
lol,loss_15pct,2,93,26,-128.061366937352,-44.406121385978,-30.280357963323944,8,0.46166052132177143,6,20
lol,loss_15pct,5,93,24,-128.061366937352,-5.744828326184247,-28.938876323344534,8,0.426161852730283,7,17
lol,loss_20pct,2,93,15,-128.061366937352,-5.225285741993739,20.48475646064606,5,0.4299511900836754,4,11
lol,loss_20pct,5,93,14,-128.061366937352,27.25769233999901,43.95294255389897,6,0.4592909243687158,4,10
lol,losing_300s,2,93,5,-128.061366937352,-4.50133736135024,4.122886542500001,1,0.10503251742031683,1,4
lol,losing_300s,5,93,5,-128.061366937352,-7.584092677175259,-5.948332907500005,1,0.20287674554755272,1,4
lol,losing_480s,2,93,2,-128.061366937352,1.1526545550249976,-0.6553688974999998,1,0.08865472502763454,1,1
lol,losing_480s,5,93,2,-128.061366937352,-10.251484671875,-6.9769188975,1,0.668868676955581,0,2
lol,reverse_2signals,2,93,2,-128.061366937352,-3.412712735196003,-2.0403107236264715,1,0.6427152894520545,0,2
lol,reverse_2signals,5,93,2,-128.061366937352,-2.079507982515999,-0.15310591236761167,1,0.11927466930975796,0,2
